Date,BTC,ETH,LTC,XRP
0,5630.1,0,0,0
2019-05-06 10-AM,5630.03,162.03,72.97,0.2965
2019-05-06 09-AM,5599.94,161.74,72.78,0.2958
2019-05-06 08-AM,5582.26,158.09,71.64,0.293
2019-05-06 07-AM,5619.29,158.62,71.34,0.2925
2019-05-06 06-AM,5643.49,158.72,72.13,0.2932
2019-05-06 05-AM,5655,159.1,72.15,0.2945
2019-05-06 04-AM,5622.12,159.57,72.26,0.2942
2019-05-06 03-AM,5614.17,159.31,71.73,0.2934
2019-05-06 02-AM,5612,159.69,73.08,0.2942
2019-05-06 01-AM,5673,159.49,72.98,0.2942
2019-05-06 12-AM,5709.32,160.61,73.33,0.2958
2019-05-05 11-PM,5707.29,161.35,74.75,0.2967
2019-05-05 10-PM,5745.56,161.56,74.91,0.297
2019-05-05 09-PM,5766.14,162.03,75.55,0.2984
2019-05-05 08-PM,5701.1,162.96,75.94,0.2978
2019-05-05 07-PM,5712.6,161.01,75.51,0.296
2019-05-05 06-PM,5669.23,159.82,75.28,0.297
2019-05-05 05-PM,5700.62,158.56,74.98,0.2965
2019-05-05 04-PM,5711.94,159.78,75.2,0.2971
2019-05-05 03-PM,5721.98,161.27,75.6,0.2977
2019-05-05 02-PM,5734,161.12,75.4,0.2968
2019-05-05 01-PM,5737.57,162.06,75.85,0.2975
2019-05-05 12-PM,5711.33,161.83,75.78,0.2975
2019-05-05 11-AM,5735.68,161.23,74.82,0.2971
2019-05-05 10-AM,5699.41,161.6,75.74,0.2982
2019-05-05 09-AM,5714.78,161.37,75.43,0.2977
2019-05-05 08-AM,5702.43,161.28,75.96,0.2984
2019-05-05 07-AM,5736.13,161.5,75.97,0.298
2019-05-05 06-AM,5745.23,162.6,76.64,0.2992
2019-05-05 05-AM,5717.04,163.17,76.76,0.2991
2019-05-05 04-AM,5750.41,162.08,75.59,0.2989
2019-05-05 03-AM,5735.5,162.39,76.54,0.2993
2019-05-05 02-AM,5730.56,162.06,76.5,0.2997
2019-05-05 01-AM,5752.28,161.71,76.32,0.2993
2019-05-05 12-AM,5764.65,161.87,77.03,0.2993
2019-05-04 11-PM,5819.11,161.95,77.31,0.2995
