time,close,high,low,open,volumefrom,volumeto
1549969200,3592.17,3596.43,3588.69,3589.91,1539.59,5541086.32
1549972800,3603.18,3609.51,3591.83,3592.17,2481.19,8934985.01
1549976400,3605.08,3615.27,3599.54,3603.18,3236.32,11681703.29
1549980000,3602.6,3606.94,3601.07,3605.08,1360.52,4903188.8
1549983600,3601.48,3607.57,3595.59,3602.6,2861.87,10334373.61
1549987200,3603.28,3612.58,3601.48,3601.48,1921.22,6933462.68
1549990800,3611.53,3617.18,3602.87,3603.28,1470.11,5306305.94
1549994400,3627.49,3648.67,3610.91,3611.53,3522.45,12835368.44
1549998000,3627.8,3635.54,3624.13,3627.49,2001.37,7237894.06
1550001600,3635.66,3640.78,3627.8,3627.8,1399.25,5068167.6
1550005200,3607.47,3639.39,3595.1,3635.66,3884.41,13996313.94
1550008800,3610.81,3615.25,3602.51,3607.47,1176.62,4227664.45
1550012400,3617.41,3622.88,3609.78,3610.81,1073.07,3873837.26
1550016000,3623.99,3625.22,3612.13,3617.41,1125.22,4055669.4
1550019600,3622.95,3626.58,3619.95,3623.99,853.94,3092150.39
1550023200,3627.06,3630.03,3620.17,3622.95,979.35,3538150.89
1550026800,3628.67,3628.67,3623.05,3627.06,926.95,3360781.66
1550030400,3620.16,3628.98,3617.35,3628.67,1480.96,5355183.36
1550034000,3629.58,3632.22,3619.54,3620.16,1660.55,6009348.46
1550037600,3626.62,3655.89,3623.57,3629.58,3311.6,12072751.2
1550041200,3619.47,3628.82,3616.58,3626.62,1467.59,5305946.35
1550044800,3608.9,3621.55,3608.31,3619.47,1975.35,7114189.6
1550048400,3608.74,3612.99,3604.7,3608.9,1909.35,6876533.91
1550052000,3603.88,3614.53,3603.87,3608.74,1552.08,5598948.49
1550055600,3603.45,3608.63,3590.01,3603.88,5560.33,20213176.18
1550059200,3611.04,3611.37,3597.31,3603.45,2904.24,10491269.04
1550062800,3607.97,3616.12,3606.65,3611.04,1535.15,5530527.14
1550066400,3603.93,3610.04,3603.72,3607.97,1127.59,4054799
1550070000,3591.89,3604.34,3591.41,3603.93,3351.45,12013814.74
1550073600,3603.2,3605.84,3590.09,3591.89,1224.28,4395842.65
1550077200,3604.83,3608.57,3603.12,3603.2,1106.86,3992317.72
1550080800,3609.32,3611.12,3602.43,3604.83,1039.28,3736835.27
1550084400,3595.74,3611.55,3595.69,3609.32,1100.26,3960168.3
1550088000,3594.99,3601.73,3593.88,3595.74,1470.59,5276258.76
1550091600,3599.46,3601.91,3594.81,3594.99,1134.78,4068142.38
1550095200,3601.77,3605.5,3598.91,3599.46,868.91,3121278.77
1550098800,3605.87,3608.65,3601.54,3601.77,997.5,3588264.9
1550102400,3615.47,3619.7,3603.58,3605.87,1319.9,4753849.21
1550106000,3612.18,3616.54,3610.32,3615.47,1382.31,4985219.39
1550109600,3606.73,3614.31,3603.19,3612.18,671.25,2414670.84
1550113200,3603.72,3607.66,3603.72,3606.73,508.59,1833999.73
1550116800,3613.21,3615.19,3603.64,3603.72,1285.9,4643191.68
1550120400,3605.46,3617.01,3600.92,3613.21,1691.93,6100611.4
1550124000,3607.71,3610.76,3603.47,3605.46,643.59,2309432.71
1550127600,3599.84,3609.12,3593.33,3607.71,1739.88,6251086.09
1550131200,3599.41,3608.01,3597.94,3599.84,1369.91,4916713.58
1550134800,3604.77,3606.92,3599.41,3599.41,1498.03,5384859.03
1550138400,3596.1,3605.5,3588.98,3604.77,1675.71,5999331.88
1550142000,3581.59,3596.1,3567.39,3596.1,2806.68,10037319.27
1550145600,3582.47,3587.86,3575.08,3581.59,1460.59,5230210.67
1550149200,3587.97,3588.47,3581.99,3582.47,1236.3,4437554.17
1550152800,3586.21,3589.52,3580.74,3587.97,1003.07,3590972.51
1550156400,3592.15,3596.61,3586.21,3586.21,1279.34,4590751.82
1550160000,3592.47,3604.16,3591.11,3592.15,2189.22,7868845.26
1550163600,3596.99,3601.37,3591.55,3592.47,1191.62,4287676.15
1550167200,3600.88,3602.03,3596.22,3596.99,1285.91,4644043.31
1550170800,3600.51,3602.27,3596.86,3600.88,1066.43,3834077.6
1550174400,3591.61,3600.81,3588.56,3600.51,969.09,3469009.79
1550178000,3598.44,3600.16,3581.63,3591.61,2695.64,9730369.94
1550181600,3591.39,3598.48,3589.29,3598.44,1133.34,4073988.68
1550185200,3588.72,3592.11,3587.25,3591.39,675.11,2417071.62
1550188800,3590.94,3594.71,3585.71,3588.72,816.36,2922709.92
1550192400,3596.5,3597.49,3590.37,3590.94,658.34,2360960.96
1550196000,3597.64,3597.64,3594.82,3596.5,706.97,2531969.1
1550199600,3602.98,3606.17,3597.24,3597.64,960.81,3452784.67
1550203200,3608.46,3613.99,3601.34,3602.98,1891.47,6847874.39
1550206800,3605.7,3609.02,3600.55,3608.46,1133.9,4089627.08
1550210400,3605.32,3612.66,3603.68,3605.7,934.34,3364766.02
1550214000,3603.63,3605.72,3598.86,3605.32,1417.1,5097943.35
1550217600,3602.72,3607.52,3601.94,3603.63,1457.25,5242472.49
1550221200,3600.19,3605.12,3599.31,3602.72,1996.07,7240955.74
1550224800,3609.58,3611.68,3596.45,3600.19,1064.03,3818135.92
1550228400,3603.58,3623.63,3601.27,3609.58,2260.24,8137108.84
1550232000,3609.85,3611.4,3602.9,3603.58,1281.1,4600443.94
1550235600,3614.69,3614.73,3606.95,3609.85,1162.54,4196253.16
1550239200,3584.84,3640.65,3582.61,3614.69,6395.4,23076690.24
1550242800,3584.79,3592.45,3575.95,3584.84,2740.5,9803621.19
1550246400,3589.6,3591.29,3583.61,3584.79,1417.56,5080020.54
1550250000,3593.25,3597.13,3589.6,3589.6,1709.4,6112615.75
1550253600,3596.24,3596.36,3592.13,3593.25,834.49,2987022.34
1550257200,3591.52,3597.84,3591.32,3596.24,1270.58,4556399.59
1550260800,3594.54,3599.65,3590.45,3591.52,1709.42,6151674.5
1550264400,3592.38,3596.51,3591.91,3594.54,1213.46,4356604.37
1550268000,3591.89,3593.05,3588.95,3592.38,530.62,1900947.01
1550271600,3593.49,3593.49,3587.85,3591.89,689.42,2469388.21
1550275200,3604.62,3605.35,3592.04,3593.49,2751.45,10046875.99
1550278800,3608.71,3612.64,3604.35,3604.62,782.57,2818089.75
1550282400,3611.96,3612.76,3604.68,3608.71,676.28,2433566.14
1550286000,3619.36,3619.36,3610.86,3611.96,1043.53,3759483.67
1550289600,3613.74,3628.18,3613.34,3619.36,1449.79,5224982.09
1550293200,3614.16,3619.46,3612.8,3613.74,520.45,1880735.17
1550296800,3612.31,3619.33,3610.66,3614.16,566.62,2052212.3
1550300400,3617.05,3618.36,3609.57,3612.31,835.05,3011901.15
1550304000,3619.68,3621.73,3615.87,3617.05,534.74,1936898.77
1550307600,3615.26,3621.57,3614.4,3619.68,452.59,1639144.29
1550311200,3616.06,3618.99,3613.41,3615.26,514.53,1859746.64
1550314800,3620.17,3620.2,3615.92,3616.06,376.99,1359598.03
1550318400,3616.1,3632.35,3604.91,3620.17,1841.93,6648922.47
1550322000,3627.11,3630.95,3615.76,3616.1,1301.6,4724174.95
1550325600,3631.29,3639.75,3622.7,3627.11,1589.55,5778947.38
1550329200,3629.77,3634.89,3626.95,3631.29,833.93,3022613.53
1550332800,3629.02,3637.41,3621.35,3629.77,1512.54,5504815.85
1550336400,3625.88,3629.42,3622.7,3629.02,703.3,2542922
1550340000,3626.09,3627.82,3623.18,3625.88,745.09,2685699.48
1550343600,3630.2,3633.43,3625.23,3626.09,672.84,2430820.55
1550347200,3633.11,3633.3,3626.31,3630.2,424.53,1535331.54
1550350800,3629.02,3634.2,3625.53,3633.11,555.62,2007578.56
1550354400,3624.1,3631.01,3623.29,3629.02,582.35,2099813.85
1550358000,3617.24,3625.43,3608.66,3624.1,2735.7,9968948.63
1550361600,3614.81,3619.09,3609.17,3617.24,1248.68,4530155.48
1550365200,3619.39,3620.24,3610.19,3614.81,700.47,2528104.84
1550368800,3621.44,3624.39,3611.99,3619.39,436.9,1579520.82
1550372400,3622.91,3624.51,3620.35,3621.44,356.38,1287624.12
1550376000,3634.09,3636.36,3622.8,3622.91,1257.5,4600769.4
1550379600,3638.36,3638.59,3632.02,3634.09,543.6,1975400.47
1550383200,3634.83,3639.2,3628.14,3638.36,618.12,2244228.47
1550386800,3637.78,3640.58,3633.85,3634.83,310.75,1125568.78
1550390400,3635.59,3640.37,3634.58,3637.78,393.31,1429133.51
1550394000,3638.75,3639.76,3633.84,3635.59,631.5,2283008.53
1550397600,3637.74,3706.17,3626.21,3638.75,10334.83,38047268.78
1550401200,3627.61,3645.12,3625.45,3637.74,1604.29,5842430.24
1550404800,3614.58,3632.32,3614.24,3627.61,2321.31,8398302.29
