Airline,Airport Code,Latitude_DEST,Longitude_DEST
WN,TPA,27.97550011,-82.53320313
WN,ORF,36.89459991,-76.20120239
WN,MCI,39.2976,-94.713898
WN,JAX,30.49410057,-81.68789673
WN,DEN,39.86169815,-104.6729965
WN,EWR,40.69250107,-74.16870117
WN,SAT,29.53370094,-98.46980286
WN,BNA,36.12450027,-86.67819977
WN,BOS,42.36429977,-71.00520325
WN,RSW,26.53619957,-81.75520325
WN,DAL,32.847099,-96.851799
WN,SMF,38.69540024,-121.5910034
WN,GSP,34.89569855,-82.21890259
WN,MSP,44.882,-93.221802
WN,SJU,18.43939972,-66.00180054
WN,BHM,33.56290054,-86.75350189
WN,ROC,43.1189003,-77.67240143
WN,FLL,26.072599,-80.152702
WN,SFO,37.61899948,-122.375
WN,MDW,41.785999,-87.752403
WN,PHX,33.43429947,-112.012001
WN,CLE,41.4117012,-81.84980011
WN,PHL,39.87189865,-75.2410965
WN,HOU,29.64539909,-95.27890015
WN,ECP,30.357106,-85.795414
WN,MCO,28.42939949,-81.30899811
WN,SJC,37.362598,-121.929001
WN,SEA,47.449001,-122.308998
WN,ABQ,35.040199,-106.609001
WN,LAX,33.94250107,-118.4079971
WN,LGA,40.77719879,-73.87259674
WN,TUS,32.11610031,-110.9410019
WN,LAS,36.08010101,-115.1520004
WN,OAK,37.721298,-122.221001
WN,PBI,26.68320084,-80.09559631
WN,BDL,41.93889999,-72.68319702
WN,PNS,30.47340012,-87.18659973
WN,DTW,42.21239853,-83.35340118
WN,RDU,35.87760162,-78.78749847
WN,ALB,42.74829865,-73.80169678
WN,MSY,29.99340057,-90.25800323
WN,MKE,42.94720078,-87.89659882
WN,IND,39.7173,-86.294403
WN,STL,38.748697,-90.370003
WN,BWI,39.1754,-76.668297
WN,ELP,31.80719948,-106.3779984
WN,GRR,42.88079834,-85.52279663
WN,LBB,33.663601,-101.822998
WN,CMH,39.998001,-82.891899
WN,OMA,41.3032,-95.894096
WN,SDF,38.1744,-85.736
WN,SLC,40.78839874,-111.9779968
WN,SAN,32.73360062,-117.1900024
WN,PIT,40.49150085,-80.23290253
WN,PVD,41.732601,-71.420403
WN,RNO,39.49909973,-119.7679977
WN,ONT,34.05599976,-117.6009979
WN,AUS,30.19449997,-97.66989899
WN,DCA,38.8521,-77.037697
WN,BUR,34.20069885,-118.3590012
WN,OKC,35.39310074,-97.60070038
WN,SNA,33.67570114,-117.8679962
WN,GEG,47.61989975,-117.5339966
WN,HRL,26.22850037,-97.65440369
WN,ISP,40.79520035,-73.10019684
WN,CLT,35.2140007,-80.94309998
WN,ATL,33.6367,-84.428101
WN,BUF,42.94049835,-78.73220062
WN,IAD,38.94449997,-77.45580292
WN,LIT,34.72940063,-92.22429657
WN,CHS,32.89860153,-80.04049683
WN,MEM,35.04240036,-89.97669983
WN,OGG,20.8986,-156.429993
WN,ICT,37.649899,-97.433098
WN,TUL,36.19839859,-95.88809967
WN,MHT,42.932598,-71.435699
WN,PDX,45.58869934,-122.5979996
WN,BOI,43.5644,-116.223
WN,MAF,31.94249916,-102.2020035
WN,AMA,35.219398,-101.706001
WN,CVG,39.04880142,-84.6678009
WN,CRP,27.77039909,-97.50119781
WN,RIC,37.50519943,-77.31970215
WN,DSM,41.5340004,-93.6631012
WN,CAK,40.91609955,-81.44219971
WN,KOA,19.738783,-156.045603
WN,LGB,33.81769943,-118.1520004
WN,HNL,21.32062,-157.924228
WN,PWM,43.64619827,-70.30930328
WN,FNT,42.9654007,-83.74359894
WN,DAY,39.90240097,-84.2193985
