Airline,Origin,Destination,Total_Delay,Latitude_OR,Longitude_OR,Latitude_DEST,Longitude_DEST
WN,BOS,TPA,58.87,42.36429977,-71.00520325,27.97550011,-82.53320313
WN,TPA,ORF,58.8,27.97550011,-82.53320313,36.89459991,-76.20120239
WN,ECP,MCI,50.23,30.357106,-85.795414,39.2976,-94.713898
WN,LAS,JAX,48.8,36.08010101,-115.1520004,30.49410057,-81.68789673
WN,ECP,DEN,38.61,30.357106,-85.795414,39.86169815,-104.6729965
WN,PHX,EWR,37.85,33.43429947,-112.012001,40.69250107,-74.16870117
WN,LGA,SAT,33.98,40.77719879,-73.87259674,29.53370094,-98.46980286
WN,OMA,BNA,32.85,41.3032,-95.894096,36.12450027,-86.67819977
WN,OMA,TPA,31.16,41.3032,-95.894096,27.97550011,-82.53320313
WN,SJU,EWR,30.92,18.43939972,-66.00180054,40.69250107,-74.16870117
WN,ABQ,SAT,28.85,35.040199,-106.609001,29.53370094,-98.46980286
WN,TPA,BOS,28.8,27.97550011,-82.53320313,42.36429977,-71.00520325
WN,ROC,RSW,28.47,43.1189003,-77.67240143,26.53619957,-81.75520325
WN,SAN,EWR,28.28,32.73360062,-117.1900024,40.69250107,-74.16870117
WN,GSP,DAL,28.1,34.89569855,-82.21890259,32.847099,-96.851799
WN,HOU,SMF,28.08,29.64539909,-95.27890015,38.69540024,-121.5910034
WN,DAL,GSP,28,32.847099,-96.851799,34.89569855,-82.21890259
WN,DAL,MSP,27.68,32.847099,-96.851799,44.882,-93.221802
WN,OAK,EWR,26.12,37.721298,-122.221001,40.69250107,-74.16870117
WN,EWR,SJU,26.12,40.69250107,-74.16870117,18.43939972,-66.00180054
WN,BNA,EWR,26.07,36.12450027,-86.67819977,40.69250107,-74.16870117
WN,FLL,BHM,25.53,26.072599,-80.152702,33.56290054,-86.75350189
WN,RSW,ROC,25.2,26.53619957,-81.75520325,43.1189003,-77.67240143
WN,OKC,FLL,23.87,35.39310074,-97.60070038,26.072599,-80.152702
WN,DEN,EWR,23.44,39.86169815,-104.6729965,40.69250107,-74.16870117
WN,PBI,DAL,23.44,26.68320084,-80.09559631,32.847099,-96.851799
WN,LAX,SFO,22.73,33.94250107,-118.4079971,37.61899948,-122.375
WN,ECP,MDW,22.28,30.357106,-85.795414,41.785999,-87.752403
WN,EWR,PHX,21.96,40.69250107,-74.16870117,33.43429947,-112.012001
WN,FLL,EWR,21.25,26.072599,-80.152702,40.69250107,-74.16870117
WN,MCO,CLE,21.11,28.42939949,-81.30899811,41.4117012,-81.84980011
WN,BUF,DEN,20.94,42.94049835,-78.73220062,39.86169815,-104.6729965
WN,HOU,BOS,20.82,29.64539909,-95.27890015,42.36429977,-71.00520325
WN,HOU,PHL,20.77,29.64539909,-95.27890015,39.87189865,-75.2410965
WN,TUS,HOU,20.66,32.11610031,-110.9410019,29.64539909,-95.27890015
WN,MCI,ECP,20.65,39.2976,-94.713898,30.357106,-85.795414
WN,SAN,ORF,20.27,32.73360062,-117.1900024,36.89459991,-76.20120239
WN,MDW,EWR,20.01,41.785999,-87.752403,40.69250107,-74.16870117
WN,BOS,MCO,19.83,42.36429977,-71.00520325,28.42939949,-81.30899811
WN,MDW,SFO,19.82,41.785999,-87.752403,37.61899948,-122.375
WN,ELP,SJC,19.54,31.80719948,-106.3779984,37.362598,-121.929001
WN,PHX,SFO,19.31,33.43429947,-112.012001,37.61899948,-122.375
WN,LBB,HOU,19.1,33.663601,-101.822998,29.64539909,-95.27890015
WN,LAS,SFO,18.84,36.08010101,-115.1520004,37.61899948,-122.375
WN,ATL,SEA,18.8,33.6367,-84.428101,47.449001,-122.308998
WN,SJC,MCO,18.7,37.362598,-121.929001,28.42939949,-81.30899811
WN,MCO,ABQ,18.67,28.42939949,-81.30899811,35.040199,-106.609001
WN,HRL,DAL,18.5,26.22850037,-97.65440369,32.847099,-96.851799
WN,SAN,SFO,18.13,32.73360062,-117.1900024,37.61899948,-122.375
WN,PHL,HOU,18.05,39.87189865,-75.2410965,29.64539909,-95.27890015
WN,SFO,LAX,17.85,37.61899948,-122.375,33.94250107,-118.4079971
WN,MDW,LGA,17.63,41.785999,-87.752403,40.77719879,-73.87259674
WN,BOS,MSP,17.4,42.36429977,-71.00520325,44.882,-93.221802
WN,LGA,MCO,17.04,40.77719879,-73.87259674,28.42939949,-81.30899811
WN,HOU,TUS,16.98,29.64539909,-95.27890015,32.11610031,-110.9410019
WN,EWR,LAS,16.95,40.69250107,-74.16870117,36.08010101,-115.1520004
WN,DEN,SFO,16.92,39.86169815,-104.6729965,37.61899948,-122.375
WN,MCO,EWR,16.87,28.42939949,-81.30899811,40.69250107,-74.16870117
WN,EWR,OAK,16.71,40.69250107,-74.16870117,37.721298,-122.221001
WN,DAL,SFO,16.38,32.847099,-96.851799,37.61899948,-122.375
WN,PBI,LGA,16.15,26.68320084,-80.09559631,40.77719879,-73.87259674
WN,PVD,PBI,16.1,41.732601,-71.420403,26.68320084,-80.09559631
WN,EWR,MDW,15.86,40.69250107,-74.16870117,41.785999,-87.752403
