,ID,Player,Team,G,GS,MPG,FGP,X3pp,FTP,A_OFF,A_DEF,A_TOT,APG,SPG,BPG,A_TO,A_PF,PPG,MIN,FGM,FGA,X3PM,X3PA,FTM,FTA,OFF,DEF,TOT,AST,STL,BLK,TO,PF,PTS,Region,Salary,kcuti$cluster
5,SW5,Greg Smith,Houston Rockets,11,0,9.1,0.643,0,0.4,1,1.5,2.5,0,0.09,0.18,0.45,1.55,3.5,100,18,28,0,0,2,5,11,16,27,0,1,2,5,17,38,SW,"$884,293 ",1
6,SW6,Isaiah Canaan,Houston Rockets,17,0,8.9,0.321,0.323,0.826,0.2,0.8,1,0.6,0.29,0.06,0.88,0.94,3.7,152,17,53,10,31,19,23,4,13,17,10,5,1,15,16,63,SW,"$570,515 ",1
9,SW9,Jordan Hamilton,Houston Rockets,17,1,16.1,0.385,0.34,0.889,0.4,2.6,2.9,0.8,0.59,0.35,1,1.82,6.4,274,37,96,18,53,16,18,6,44,50,13,10,6,17,31,108,SW,"$1,234,320 ",1
14,SW14,Robert Covington,Houston Rockets,5,0,3.8,0.444,0.375,0,0.2,0.2,0.4,0,0.2,0,0,0.4,2.2,19,4,9,3,8,0,0,1,1,2,0,1,0,0,2,11,SW,"$490,180 ",1
16,SW16,Troy Daniels,Houston Rockets,2,0,3.5,0.5,0.333,0,0,0,0,0,0,0,0,0.5,2.5,7,2,4,1,3,0,0,0,0,0,0,0,0,0,1,5,SW,"$158,587 ",1
17,SW17,Beno Udrih,Memphis Grizzlies,7,0,5.3,0.5,1,0.833,0,0.3,0.3,0.4,0.14,0.14,0.57,0.57,2.4,37,5,10,2,2,5,6,0,2,2,3,1,1,4,4,17,SW,"$359,232 ",1
22,SW22,Jamaal Franklin,Memphis Grizzlies,19,0,7.9,0.343,0.333,1,0.2,0.9,1.1,0.3,0.21,0.11,0.53,1.16,1.5,151,12,35,3,9,2,2,4,17,21,6,4,2,10,22,29,SW,"$535,000 ",1
30,SW30,Quincy Pondexter,Memphis Grizzlies,15,2,18,0.392,0.324,0.808,0.7,1.1,1.7,1.3,0.33,0.07,1,1.2,6.3,270,31,79,11,34,21,26,10,16,26,20,5,1,15,18,94,SW,"$2,225,478 ",1
40,SW40,Darius Miller,New Orleans Pelicans,39,1,13.7,0.43,0.31,0.774,0.2,0.9,1.1,0.7,0.31,0.21,0.41,1.79,3.6,536,49,114,18,58,24,31,6,37,43,27,12,8,16,70,140,SW,"$788,872 ",1
43,SW43,Jason Smith,New Orleans Pelicans,31,27,26.8,0.465,0,0.78,1.6,4.2,5.8,0.9,0.35,0.94,0.9,3.23,9.7,830,131,282,0,0,39,50,51,130,181,29,11,29,28,100,301,SW,"$2,500,000 ",1
46,SW46,Luke Babbitt,New Orleans Pelicans,22,1,15.9,0.361,0.342,0.75,0.6,2.2,2.8,0.8,0.23,0.45,0.5,1.86,5,349,39,108,25,73,6,8,13,48,61,18,5,10,11,41,109,SW,"$387,995 ",1
47,SW47,Ryan Anderson,New Orleans Pelicans,22,14,36.1,0.438,0.409,0.952,3,3.5,6.5,0.8,0.45,0.32,0.91,2.14,19.8,795,155,354,67,164,59,62,66,76,142,17,10,7,20,47,436,SW,"$8,308,500 ",1
50,SW50,Austin Daye,San Antonio Spurs,8,0,8.8,0.467,0.611,0,0,1.6,1.6,0.5,0.25,0.38,0.25,0.75,4.9,70,14,30,11,18,0,1,0,13,13,4,2,3,2,6,39,SW,"$947,907 ",1
51,SW51,Austin Daye (TOT),San Antonio Spurs,16,0,6.4,0.395,0.423,0.5,0.1,1.1,1.3,0.4,0.13,0.19,0.13,0,2.9,103,17,43,11,26,2,4,2,18,20,6,2,3,2,10,47,SW,"$947,907 ",1
54,SW54,Damion James,San Antonio Spurs,1,0,5,0,0,0,0,2,2,0,0,0,0,0,0,5,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,SW,"$1,243,000 ",1
71,SW71,Devin Harris,Dallas Mavericks,35,0,20,0.386,0.337,0.81,0.2,1.9,2.1,4.1,0.54,0.03,1.4,1.9,8.1,700,2.5,6.4,0.8,2.4,2.3,2.9,7,0,42,2,0,0,0,4,17,SW,"$1,272,279 ",1
77,SW77,Gal Mekel,Dallas Mavericks,31,1,9.4,0.349,0.25,0.67,0.2,0.7,0.9,2,0.13,0.03,1,1,2.4,291,1,2.8,0.2,0.6,0.3,0.4,6,1,8,1,0,0,0,1,2,SW,"$490,180 ",1
78,SW78,Ricky Ledo,Dallas Mavericks,11,0,3,0.353,0.375,1,0,0.2,0.2,0.2,0.09,0,0.2,0.2,1.7,33,0.5,1.5,0.3,0.7,0.4,0.4,0,0,1,0,0,0,0,0,0,SW,"$550,000 ",1
79,SW79,Bernard James,Dallas Mavericks,29,0,5,0.478,0,0.55,0.5,0.9,1.4,0.1,0.1,0.28,0.3,0.8,1,145,0.4,0.8,0,0,0.2,0.4,15,0,7,0,0,0,0,1,1,SW,"$788,872 ",1
12,SW12,Omri Casspi,Houston Rockets,65,0,18.1,0.423,0.349,0.667,0.8,2.8,3.6,1.2,0.65,0.22,1.02,1.46,7,1174,160,378,58,166,78,117,52,179,231,81,42,14,66,95,456,SW,"$947,907 ",2
15,SW15,Terrence Jones,Houston Rockets,69,64,27.3,0.54,0.302,0.586,2.1,4.9,7,1.1,0.65,1.28,0.94,1.83,11.7,1885,339,628,29,96,99,169,142,341,483,77,45,88,65,126,806,SW,"$1,551,840 ",2
20,SW20,Courtney Lee (TOT),Memphis Grizzlies,73,41,24.8,0.49,0.378,0.874,0.4,2.1,2.4,1.4,0.88,0.34,0.82,0,9.7,1808,277,565,65,172,90,103,26,152,178,104,64,25,60,120,709,SW,"$5,225,000 ",2
25,SW25,Kosta Koufos,Memphis Grizzlies,75,22,17.3,0.5,0,0.629,2,3.3,5.4,0.5,0.41,0.88,0.85,2.39,6.6,1298,219,438,0,0,56,89,153,251,404,35,31,66,64,179,494,SW,"$3,000,000 ",2
26,SW26,Marc Gasol,Memphis Grizzlies,53,53,33,0.462,0.111,0.783,1.4,5.4,6.8,3.6,0.96,1.34,1.91,2.6,14.3,1750,293,634,1,9,170,217,74,288,362,189,51,71,101,138,757,SW,"$14,860,523 ",2
28,SW28,Mike Miller,Memphis Grizzlies,76,4,20.9,0.472,0.45,0.821,0.4,2.2,2.5,1.6,0.32,0.07,0.88,1.22,6.9,1589,191,405,95,211,46,56,27,166,193,121,24,5,67,93,523,SW,"$1,399,507 ",2
29,SW29,Nick Calathes,Memphis Grizzlies,65,7,16.7,0.462,0.321,0.603,0.3,1.6,2,3,0.92,0.12,1.43,1.63,5,1086,134,290,18,56,38,63,20,107,127,195,60,8,93,106,324,SW,"$490,180 ",2
32,SW32,Tony Allen,Memphis Grizzlies,49,27,23.7,0.497,0.282,0.636,1.4,2.4,3.8,1.7,1.63,0.37,1.65,2.22,9,1161,181,364,11,39,68,107,68,117,185,81,80,18,81,109,441,SW,"$5,000,000 ",2
35,SW35,Al-Farouq Aminu,New Orleans Pelicans,74,64,26,0.482,0.273,0.649,1.6,4.7,6.3,1.4,1.09,0.5,1.07,1.89,7.4,1922,224,465,12,44,85,131,117,349,466,107,81,37,79,140,545,SW,"$3,700,000 ",2
36,SW36,Anthony Davis,New Orleans Pelicans,66,65,35.2,0.523,0.222,0.789,3.1,7,10.1,1.6,1.35,2.8,1.65,2.98,20.9,2324,516,987,2,9,345,437,207,461,668,104,89,185,109,197,1379,SW,"$5,375,760 ",2
38,SW38,Austin Rivers,New Orleans Pelicans,63,0,18.1,0.401,0.321,0.638,0.4,1.2,1.6,2.1,0.62,0.13,1.1,1.92,7,1141,160,399,27,84,95,149,25,74,99,130,39,8,69,121,442,SW,"$2,339,040 ",2
39,SW39,Brian Roberts,New Orleans Pelicans,68,40,23.5,0.43,0.376,0.952,0.2,1.6,1.9,3.3,0.6,0.1,1.32,1.88,9.7,1599,237,551,64,170,119,125,14,112,126,227,41,7,90,128,657,SW,"$788,872 ",2
45,SW45,Jrue Holiday,New Orleans Pelicans,34,34,33.6,0.447,0.39,0.81,0.8,3.4,4.2,7.9,1.65,0.35,3.09,2.71,14.3,1143,203,454,30,77,51,63,28,114,142,268,56,12,105,92,487,SW,"$11,000,000 ",2
52,SW52,Boris Diaw,San Antonio Spurs,73,23,25.2,0.536,0.396,0.733,0.9,3.1,4.1,2.7,0.55,0.44,1.52,1.74,9.3,1837,287,535,42,106,66,90,68,228,296,200,40,32,111,127,682,SW,"$4,702,500 ",2
55,SW55,Danny Green,San Antonio Spurs,63,54,24.3,0.427,0.415,0.833,0.3,3,3.3,1.5,0.97,0.92,1.16,1.57,8.7,1528,193,452,117,282,45,54,22,188,210,96,61,58,73,99,548,SW,"$3,762,500 ",2
56,SW56,Jeff Ayres,San Antonio Spurs,67,10,12.8,0.578,0,0.688,1.2,2.3,3.4,0.8,0.18,0.28,0.9,1.99,3.1,857,89,154,0,0,33,48,78,152,230,56,12,19,60,133,211,SW,"$1,750,000 ",2
57,SW57,Kawhi Leonard,San Antonio Spurs,61,60,29,0.517,0.374,0.803,1.1,5,6.2,1.9,1.75,0.77,1.26,1.92,12.4,1771,302,584,61,163,94,117,69,308,377,114,107,47,77,117,759,SW,"$1,991,760 ",2
59,SW59,Marco Belinelli,San Antonio Spurs,75,24,25.2,0.495,0.441,0.846,0.2,2.7,2.9,2.3,0.63,0.09,1.19,1.6,11.6,1890,324,655,120,272,99,117,17,202,219,169,47,7,89,120,867,SW,"$2,750,000 ",2
61,SW61,Patty Mills,San Antonio Spurs,76,1,18.5,0.469,0.422,0.885,0.4,1.6,2,1.8,0.87,0.12,0.79,1.42,10.1,1407,287,612,124,294,69,78,34,121,155,134,66,9,60,108,767,SW,"$1,133,950 ",2
62,SW62,Tiago Splitter,San Antonio Spurs,54,46,21.6,0.534,0,0.696,2.1,4.1,6.2,1.6,0.52,0.54,1.28,2,8.4,1169,167,313,0,1,117,168,113,224,337,84,28,29,69,108,451,SW,"$10,000,000 ",2
1,SW1,Chandler Parsons,Houston Rockets,69,69,37.7,0.47,0.369,0.746,0.9,4.7,5.6,3.9,1.14,0.39,1.96,2.26,16.3,2604,430,914,118,320,150,201,62,324,386,272,79,27,135,156,"1,128",SW,"$926,500 ",3
3,SW3,Dwight Howard,Houston Rockets,68,68,34,0.59,0.333,0.548,3.3,9,12.3,1.8,0.87,1.81,3.28,3.4,18.5,2310,458,776,2,6,339,619,226,613,839,125,59,123,223,231,"1,257",SW,"$20,513,178 ",3
7,SW7,James Harden,Houston Rockets,67,67,38.1,0.459,0.368,0.861,0.9,3.9,4.8,5.8,1.51,0.42,3.7,2.39,25.3,2552,508,1106,164,446,514,597,58,261,319,386,101,28,248,160,1694,SW,"$13,668,750 ",3
8,SW8,Jeremy Lin,Houston Rockets,65,29,29.2,0.441,0.341,0.815,0.4,2.2,2.6,4.2,0.89,0.4,2.49,2.26,12.4,1895,267,606,71,208,202,248,28,144,172,272,58,26,162,147,807,SW,"$5,225,000 ",3
27,SW27,Mike Conley,Memphis Grizzlies,67,67,33.4,0.441,0.357,0.83,0.6,2.3,2.9,6,1.51,0.19,2.07,1.93,17.2,2237,422,957,96,269,210,253,39,156,195,400,101,13,139,129,1150,SW,"$7,900,000 ",3
33,SW33,Zach Randolph,Memphis Grizzlies,73,73,34.2,0.462,0.056,0.743,3.3,6.8,10.1,2.6,0.64,0.27,2.27,2.64,17.3,2494,511,1107,1,18,237,319,242,496,738,187,47,20,166,193,1260,SW,"$17,800,000 ",3
41,SW41,Eric Gordon,New Orleans Pelicans,64,64,32.1,0.436,0.391,0.785,0.5,2.1,2.6,3.3,1.16,0.19,2.09,1.78,15.4,2057,356,817,101,258,175,223,30,135,165,208,74,12,134,114,988,SW,"$14,283,844 ",3
48,SW48,Tyreke Evans,New Orleans Pelicans,67,17,27.9,0.43,0.205,0.777,1,3.6,4.7,4.9,1.19,0.3,2.45,2.19,14.1,1866,353,820,17,83,220,283,68,244,312,328,80,20,164,147,943,SW,"$11,796,247 ",3
58,SW58,Manu Ginobili,San Antonio Spurs,63,3,22.8,0.467,0.343,0.848,0.5,2.5,3,4.4,1.05,0.25,2.03,1.9,12.3,1437,271,580,82,239,151,178,30,160,190,275,66,16,128,120,775,SW,"$7,000,000 ",3
