word,disgust,surprise,neutral,anger,sad,happy,fear
Abuse , 0.0010989011 , 0.0010989011 , 0.0010989011 , 0.14175825 , 0.0010989011 , 0.0010989011 , 0.0010989011
Aggravate , 0.0010989011 , 0.0010989011 , 0.0010989011 , 0.14175825 , 0.0010989011 , 0.0010989011 , 0.0010989011
Agitate , 0.0010989011 , 0.0010989011 , 0.0010989011 , 0.14175825 , 0.0010989011 , 0.0010989011 , 0.0010989011
Agony , 0.0010989011 , 0.0010989011 , 0.0010989011 , 0.14175825 , 0.0010989011 , 0.0010989011 , 0.0010989011
Annoy , 0.0010989011 , 0.0010989011 , 0.0010989011 , 0.14175825 , 0.0010989011 , 0.0010989011 , 0.0010989011
Appalled , 0.0010989011 , 0.0010989011 , 0.0010989011 , 0.14175825 , 0.0010989011 , 0.0010989011 , 0.0010989011
Arrogant , 0.0010989011 , 0.0010989011 , 0.0010989011 , 0.14175825 , 0.0010989011 , 0.0010989011 , 0.0010989011
Ass , 0.0010989011 , 0.0010989011 , 0.0010989011 , 0.14175825 , 0.0010989011 , 0.0010989011 , 0.0010989011
Atrocious , 0.0010989011 , 0.0010989011 , 0.0010989011 , 0.14175825 , 0.0010989011 , 0.0010989011 , 0.0010989011
Backstabbing , 0.0010989011 , 0.0010989011 , 0.0010989011 , 0.14175825 , 0.0010989011 , 0.0010989011 , 0.0010989011
Beat , 0.0010989011 , 0.0010989011 , 0.0010989011 , 0.14175825 , 0.0010989011 , 0.0010989011 , 0.0010989011
Boil , 0.0010989011 , 0.0010989011 , 0.0010989011 , 0.14175825 , 0.0010989011 , 0.0010989011 , 0.0010989011
Broke , 0.0010989011 , 0.0010989011 , 0.0010989011 , 0.14175825 , 0.0010989011 , 0.0010989011 , 0.0010989011
Brutal , 0.0010989011 , 0.0010989011 , 0.0010989011 , 0.14175825 , 0.0010989011 , 0.0010989011 , 0.0010989011
Buffoon , 0.0010989011 , 0.0010989011 , 0.0010989011 , 0.14175825 , 0.0010989011 , 0.0010989011 , 0.0010989011
Bullshit , 0.0010989011 , 0.0010989011 , 0.0010989011 , 0.14175825 , 0.0010989011 , 0.0010989011 , 0.0010989011
Bully , 0.0010989011 , 0.0010989011 , 0.0010989011 , 0.14175825 , 0.0010989011 , 0.0010989011 , 0.0010989011
Confronted , 0.0014005604 , 0.0014005604 , 0.0014005604 , 0.0014005604 , 0.0014005604 , 0.0014005604 , 0.14145659
Corrupt , 0.0010989011 , 0.0010989011 , 0.0010989011 , 0.14175825 , 0.0010989011 , 0.0010989011 , 0.0010989011
Corrupting , 0.0010989011 , 0.0010989011 , 0.0010989011 , 0.14175825 , 0.0010989011 , 0.0010989011 , 0.0010989011
Coward , 0.0010989011 , 0.0010989011 , 0.0010989011 , 0.14175825 , 0.0010989011 , 0.0010989011 , 0.0010989011
Crooked , 0.0010989011 , 0.0010989011 , 0.0010989011 , 0.14175825 , 0.0010989011 , 0.0010989011 , 0.0010989011
Crush , 0.0010989011 , 0.0010989011 , 0.0010989011 , 0.14175825 , 0.0010989011 , 0.0010989011 , 0.0010989011
Damaging , 0.0010989011 , 0.0010989011 , 0.0010989011 , 0.14175825 , 0.0010989011 , 0.0010989011 , 0.0010989011
Deplorable , 0.0010989011 , 0.0010989011 , 0.0010989011 , 0.14175825 , 0.0010989011 , 0.0010989011 , 0.0010989011
Diatribe , 0.0010989011 , 0.0010989011 , 0.0010989011 , 0.14175825 , 0.0010989011 , 0.0010989011 , 0.0010989011
Diminish , 0.0010989011 , 0.0010989011 , 0.0010989011 , 0.14175825 , 0.0010989011 , 0.0010989011 , 0.0010989011
Disadvantages , 0.0010989011 , 0.0010989011 , 0.0010989011 , 0.14175825 , 0.0010989011 , 0.0010989011 , 0.0010989011
Disagreements , 2.779322E-4 , 2.779322E-4 , 2.779322E-4 , 0.14257923 , 2.779322E-4 , 2.779322E-4 , 2.779322E-4
Disastrous , 0.0010989011 , 0.0010989011 , 0.0010989011 , 0.14175825 , 0.0010989011 , 0.0010989011 , 0.0010989011
Disgusted , 0.0010989011 , 0.0010989011 , 0.0010989011 , 0.14175825 , 0.0010989011 , 0.0010989011 , 0.0010989011
Disgusting , 0.0010989011 , 0.0010989011 , 0.0010989011 , 0.14175825 , 0.0010989011 , 0.0010989011 , 0.0010989011
Dreadful , 0.0010989011 , 0.0010989011 , 0.0010989011 , 0.14175825 , 0.0010989011 , 0.0010989011 , 0.0010989011
Eliminate , 0.0010989011 , 0.0010989011 , 0.0010989011 , 0.14175825 , 0.0010989011 , 0.0010989011 , 0.0010989011
Evil , 0.0010989011 , 0.0010989011 , 0.0010989011 , 0.14175825 , 0.0010989011 , 0.0010989011 , 0.0010989011
Exploit , 0.0010989011 , 0.0010989011 , 0.0010989011 , 0.14175825 , 0.0010989011 , 0.0010989011 , 0.0010989011
Falling , 4.7303693E-4 , 4.7303693E-4 , 4.7303693E-4 , 4.7303693E-4 , 4.7303693E-4 , 4.7303693E-4 , 0.14238411
Fear , 0.0010989011 , 0.0010989011 , 0.0010989011 , 0.14175825 , 0.0010989011 , 0.0010989011 , 0.0010989011
Fearing , 2.84576E-4 , 2.84576E-4 , 2.84576E-4 , 2.84576E-4 , 2.84576E-4 , 2.84576E-4 , 0.14257257
Force-fed , 0.0010989011 , 0.0010989011 , 0.0010989011 , 0.14175825 , 0.0010989011 , 0.0010989011 , 0.0010989011
