Year,Team,Off,Def,Special,Dead,IR,Prac,Susp,Wins,Playoff Wins,SuperBowl Win
2005,cardinals,38.76,23.77,3.03,8.08,0.16,0.09,0.0,5,0,0
2006,cardinals,53.74,27.43,1.76,1.18,0.61,0.15,0.0,5,0,0
2007,cardinals,44.08,26.56,1.13,2.07,13.01,0.08,0.0,8,0,0
2008,cardinals,52.14,32.29,0.8,4.09,0.23,0.32,0.0,9,3,0
2009,cardinals,49.25,42.13,2.21,6.92,5.68,0.21,0.0,10,1,0
2010,cardinals,37.25,34.95,2.59,2.4,1.28,0.53,0.0,5,0,0
2011,cardinals,53.11,40.49,3.21,3.87,2.13,0.07,0.0,8,0,0
2012,cardinals,52.18,42.75,2.78,8.36,15.7,0.0,0.0,5,0,0
2013,cardinals,39.25,36.72,3.7,0.49,6.4,0.32,0.0,10,0,0
2014,cardinals,38.09,46.08,2.29,0.24,21.29,0.47,2.25,11,0,0
2015,cardinals,44.17,42.97,1.18,0.21,4.76,0.0,2.09,13,2,0
2016,cardinals,50.28,46.07,1.63,8.6,17.38,0.05,1.95,7,0,0
2017,cardinals,53.24,42.5,2.77,4.35,33.29,0.08,0.0,8,0,0
2018,cardinals,47.4,45.26,4.03,22.49,13.84,0.0,0.0,3,0,0
2019,cardinals,38.77,32.27,1.9,0.07,11.5,0.26,0.0,5,0,0
2005,falcons,27.18,20.37,0.27,0.21,0.0,0.09,0.0,8,0,0
2006,falcons,31.14,25.22,0.34,2.09,0.19,0.0,0.0,7,0,0
2007,falcons,37.48,30.71,1.06,3.8,2.96,0.35,6.95,4,0,0
2008,falcons,49.16,32.74,3.48,8.79,1.02,0.29,12.56,11,0,0
2009,falcons,55.1,31.15,5.54,15.22,4.7,0.22,0.0,9,0,0
2010,falcons,53.13,41.26,5.63,3.32,0.0,0.23,0.0,13,1,0
2011,falcons,58.48,43.59,2.62,3.24,4.2,0.31,0.0,10,0,0
2012,falcons,53.93,48.8,2.92,6.68,13.29,0.24,0.0,13,2,0
2013,falcons,49.91,45.5,3.25,13.8,12.24,0.08,0.0,4,0,0
2014,falcons,52.96,33.06,3.79,0.45,12.84,0.24,0.0,6,0,0
2015,falcons,56.24,31.99,4.88,15.32,9.61,0.0,0.0,8,0,0
2016,falcons,58.6,33.98,4.26,16.36,9.55,0.01,0.0,11,3,0
2017,falcons,55.23,39.83,3.98,5.01,6.24,0.0,0.0,10,1,0
2018,falcons,55.27,38.28,3.76,5.13,12.96,0.0,0.0,7,0,0
2019,falcons,50.55,42.33,4.22,9.83,17.16,0.08,0.29,7,0,0
2005,ravens,23.32,35.26,0.79,0.18,0.67,0.02,0.0,6,0,0
2006,ravens,24.52,38.85,0.29,0.31,0.65,0.0,0.0,13,1,0
2007,ravens,28.51,44.51,0.35,0.28,9.76,0.07,0.0,5,0,0
2008,ravens,27.65,48.11,0.61,2.76,0.17,0.64,0.0,11,2,0
2009,ravens,44.16,40.99,1.94,10.71,2.84,0.42,0.0,9,1,0
2010,ravens,44.89,47.79,3.4,0.27,6.33,0.33,0.0,12,1,0
2011,ravens,39.26,52.74,3.53,3.14,6.98,0.56,0.0,12,2,0
2012,ravens,43.66,60.91,3.09,9.61,13.72,0.38,0.0,10,4,1
2013,ravens,37.71,45.27,3.02,0.02,1.78,0.31,0.0,8,0,0
2014,ravens,43.63,47.81,3.43,11.27,10.15,0.36,0.0,10,1,0
2015,ravens,40.49,36.52,3.73,0.74,34.63,0.0,0.25,5,0,0
2016,ravens,48.75,43.67,4.87,9.85,12.75,0.0,0.0,8,0,0
2017,ravens,55.0,37.72,4.44,13.42,10.22,0.0,4.84,9,0,0
2018,ravens,38.66,42.07,5.4,0.72,2.22,0.0,0.0,10,0,0
2019,ravens,40.26,53.57,5.26,16.14,10.73,0.03,0.0,14,1,0
2005,bills,31.47,27.58,4.22,5.35,0.44,0.0,0.0,5,0,0
2006,bills,24.31,39.88,4.03,13.53,0.0,0.16,0.0,7,0,0
2007,bills,24.16,29.8,5.56,3.85,2.52,0.42,0.0,7,0,0
2008,bills,36.57,38.41,3.47,3.93,10.85,0.48,0.0,7,0,0
2009,bills,36.04,41.52,2.82,6.85,4.0,0.43,0.0,6,0,0
2010,bills,31.32,54.45,3.12,9.67,1.25,0.29,0.0,4,0,0
2011,bills,29.02,45.08,2.96,8.25,18.48,0.0,0.0,6,0,0
2012,bills,37.49,51.42,3.06,0.45,25.57,0.0,0.0,6,0,0
2013,bills,31.18,39.38,1.75,0.1,2.23,0.29,0.0,6,0,0
2014,bills,31.21,46.37,2.58,0.61,5.64,0.65,0.0,9,0,0
2015,bills,31.53,50.58,2.92,0.27,21.94,0.0,0.0,8,0,0
2016,bills,39.12,42.98,2.69,0.92,11.22,1.03,0.19,7,0,0
2017,bills,51.97,37.67,2.95,17.29,12.39,0.0,0.0,9,0,0
2018,bills,24.49,30.95,2.39,0.0,2.77,0.0,0.0,6,0,0
2019,bills,43.73,40.2,3.21,8.4,2.53,0.0,0.0,10,0,0
2005,panthers,19.97,16.87,2.64,2.7,0.67,0.09,0.0,11,2,0
2006,panthers,21.91,23.53,2.45,0.72,0.25,0.08,0.0,8,0,0
2007,panthers,27.85,25.61,2.9,3.32,1.06,0.21,0.0,7,0,0
2008,panthers,44.25,34.33,3.16,6.92,0.32,0.32,0.0,12,1,0
2009,panthers,39.39,43.56,3.14,1.42,2.78,0.14,0.0,8,0,0
2010,panthers,49.56,34.03,3.7,19.97,0.0,0.0,0.0,2,0,0
2011,panthers,56.27,39.77,4.5,2.73,1.44,0.0,0.0,6,0,0
2012,panthers,52.68,49.43,3.09,5.08,25.62,0.0,0.0,7,0,0
2013,panthers,42.8,40.81,3.23,14.6,15.25,0.06,0.0,12,1,0
2014,panthers,39.0,35.32,2.4,0.41,9.46,3.34,0.0,7,1,0
2015,panthers,51.71,42.3,3.23,10.29,5.89,0.04,0.0,15,3,0
2016,panthers,51.33,31.8,5.0,8.34,17.12,0.0,0.0,6,0,0
2017,panthers,49.08,43.93,4.49,6.75,4.93,0.0,5.59,11,0,0
2018,panthers,52.21,45.9,3.45,6.93,18.58,0.0,0.0,7,0,0
2019,panthers,42.14,49.71,3.45,7.55,26.76,0.06,0.0,5,0,0
2005,bears,15.91,23.91,0.21,0.18,0.21,0.0,0.0,11,1,0
2006,bears,20.73,21.49,0.34,2.91,0.0,0.0,0.0,13,3,0
2007,bears,17.33,36.95,0.4,1.48,3.0,0.0,0.0,7,0,0
2008,bears,22.07,42.61,2.26,6.45,4.5,0.0,0.0,9,0,0
2009,bears,34.68,46.47,2.36,4.02,6.68,0.0,0.0,7,0,0
2010,bears,36.08,54.6,2.26,5.88,0.19,0.0,0.0,11,2,0
2011,bears,36.08,43.24,4.76,5.49,0.0,0.0,0.0,8,0,0
2012,bears,50.43,46.85,4.71,1.09,8.95,0.0,0.0,10,0,0
2013,bears,43.74,49.16,4.89,4.77,14.63,0.03,0.0,8,0,0
2014,bears,53.42,41.96,3.42,13.74,23.38,0.3,0.0,5,0,0
2015,bears,45.19,29.39,2.96,2.07,13.49,0.0,0.0,6,0,0
2016,bears,47.51,37.93,1.12,0.29,39.34,0.0,0.0,3,0,0
2017,bears,49.69,43.9,2.58,7.59,25.15,0.0,0.0,5,0,0
2018,bears,44.04,41.5,3.21,0.21,6.35,0.0,0.0,12,0,0
2019,bears,42.04,48.18,3.6,5.36,16.12,0.0,0.0,8,0,0
2005,bengals,38.12,19.34,1.52,1.62,0.65,0.18,0.0,11,0,0
2006,bengals,45.61,24.73,1.75,1.33,0.58,0.24,0.0,8,0,0
