Year,Team,Dbacks,Front7,Fantasy,Oline,Special,Dead,IR,Prac,Susp,Wins,Playoff Wins,SuperBowl Win
2005,cardinals,11.11,12.66,17.72,21.04,3.03,8.08,0.16,0.09,0.0,5,0,0
2006,cardinals,10.17,17.26,29.91,23.83,1.76,1.18,0.61,0.15,0.0,5,0,0
2007,cardinals,10.21,16.35,27.99,16.09,1.13,2.07,13.01,0.08,0.0,8,0,0
2008,cardinals,10.42,21.87,27.5,24.64,0.8,4.09,0.23,0.32,0.0,9,3,0
2009,cardinals,18.13,24.0,31.62,17.63,2.21,6.92,5.68,0.21,0.0,10,1,0
2010,cardinals,17.47,17.48,21.15,16.1,2.59,2.4,1.28,0.53,0.0,5,0,0
2011,cardinals,19.32,21.17,34.12,18.99,3.21,3.87,2.13,0.07,0.0,8,0,0
2012,cardinals,17.4,25.35,37.34,14.84,2.78,8.36,15.7,0.0,0.0,5,0,0
2013,cardinals,10.18,26.54,24.31,14.94,3.7,0.49,6.4,0.32,0.0,10,0,0
2014,cardinals,14.93,31.15,27.97,10.12,2.29,0.24,21.29,0.47,2.25,11,0,0
2015,cardinals,17.44,25.53,24.56,19.61,1.18,0.21,4.76,0.0,2.09,13,2,0
2016,cardinals,18.05,28.02,36.67,13.61,1.63,8.6,17.38,0.05,1.95,7,0,0
2017,cardinals,21.14,21.36,36.08,17.16,2.77,4.35,33.29,0.08,0.0,8,0,0
2018,cardinals,21.04,24.22,34.22,13.18,4.03,22.49,13.84,0.0,0.0,3,0,0
2019,cardinals,11.44,20.83,21.17,17.6,1.9,0.07,11.5,0.26,0.0,5,0,0
2005,falcons,3.25,17.12,19.97,7.21,0.27,0.21,0.0,0.09,0.0,8,0,0
2006,falcons,4.58,20.64,23.86,7.28,0.34,2.09,0.19,0.0,0.0,7,0,0
2007,falcons,8.39,22.32,29.74,7.74,1.06,3.8,2.96,0.35,6.95,4,0,0
2008,falcons,9.37,23.37,39.5,9.66,3.48,8.79,1.02,0.29,12.56,11,0,0
2009,falcons,7.48,23.67,43.71,11.39,5.54,15.22,4.7,0.22,0.0,9,0,0
2010,falcons,13.51,27.74,41.86,11.27,5.63,3.32,0.0,0.23,0.0,13,1,0
2011,falcons,14.36,29.23,44.54,13.94,2.62,3.24,4.2,0.31,0.0,10,0,0
2012,falcons,22.83,25.97,38.72,15.21,2.92,6.68,13.29,0.24,0.0,13,2,0
2013,falcons,18.36,27.14,35.18,14.73,3.25,13.8,12.24,0.08,0.0,4,0,0
2014,falcons,9.56,23.5,33.41,19.55,3.79,0.45,12.84,0.24,0.0,6,0,0
2015,falcons,10.56,21.43,36.81,19.43,4.88,15.32,9.61,0.0,0.0,8,0,0
2016,falcons,11.05,22.93,38.38,20.22,4.26,16.36,9.55,0.01,0.0,11,3,0
2017,falcons,13.8,26.03,39.54,15.69,3.98,5.01,6.24,0.0,0.0,10,1,0
2018,falcons,20.38,17.9,32.77,22.5,3.76,5.13,12.96,0.0,0.0,7,0,0
2019,falcons,15.61,26.72,28.67,21.88,4.22,9.83,17.16,0.08,0.29,7,0,0
2005,ravens,17.74,17.52,21.53,1.79,0.79,0.18,0.67,0.02,0.0,6,0,0
2006,ravens,18.34,20.51,21.01,3.51,0.29,0.31,0.65,0.0,0.0,13,1,0
2007,ravens,19.05,25.46,24.31,4.2,0.35,0.28,9.76,0.07,0.0,5,0,0
2008,ravens,19.05,29.06,21.91,5.74,0.61,2.76,0.17,0.64,0.0,11,2,0
2009,ravens,19.99,21.0,34.6,9.56,1.94,10.71,2.84,0.42,0.0,9,1,0
2010,ravens,19.59,28.2,30.53,14.36,3.4,0.27,6.33,0.33,0.0,12,1,0
2011,ravens,20.18,32.56,23.36,15.9,3.53,3.14,6.98,0.56,0.0,12,2,0
2012,ravens,24.52,36.39,31.59,12.07,3.09,9.61,13.72,0.38,0.0,10,4,1
2013,ravens,11.57,33.7,22.45,15.26,3.02,0.02,1.78,0.31,0.0,8,0,0
2014,ravens,15.33,32.48,28.7,14.93,3.43,11.27,10.15,0.36,0.0,10,1,0
2015,ravens,16.03,20.49,25.77,14.72,3.73,0.74,34.63,0.0,0.25,5,0,0
2016,ravens,21.46,22.21,34.98,13.77,4.87,9.85,12.75,0.0,0.0,8,0,0
2017,ravens,19.86,17.86,35.6,19.4,4.44,13.42,10.22,0.0,4.84,9,0,0
2018,ravens,22.98,19.09,26.7,11.96,5.4,0.72,2.22,0.0,0.0,10,0,0
2019,ravens,35.97,17.6,26.76,13.5,5.26,16.14,10.73,0.03,0.0,14,1,0
2005,bills,10.73,16.85,20.3,11.17,4.22,5.35,0.44,0.0,0.0,5,0,0
2006,bills,20.29,19.59,11.48,12.83,4.03,13.53,0.0,0.16,0.0,7,0,0
2007,bills,10.27,19.53,13.37,10.79,5.56,3.85,2.52,0.42,0.0,7,0,0
2008,bills,10.32,28.09,22.7,13.87,3.47,3.93,10.85,0.48,0.0,7,0,0
2009,bills,14.77,26.75,22.03,14.01,2.82,6.85,4.0,0.43,0.0,6,0,0
2010,bills,17.45,37.01,21.31,10.0,3.12,9.67,1.25,0.29,0.0,4,0,0
2011,bills,13.75,31.33,23.39,5.63,2.96,8.25,18.48,0.0,0.0,6,0,0
