Year,Team,Dbacks,LineBackers,Dline,PassCatchers,Oline,QB,RB,Special,Dead,IR,Prac,Susp,Wins,Playoff Wins,SuperBowl Win
2005,cardinals,11.11,3.95,8.71,9.2,21.04,6.72,0.81,3.03,8.08,0.16,0.09,0.0,5,0,0
2006,cardinals,10.17,4.19,13.07,12.04,23.83,6.87,10.18,1.76,1.18,0.61,0.15,0.0,5,0,0
2007,cardinals,10.21,5.17,11.18,11.75,16.09,8.55,7.57,1.13,2.07,13.01,0.08,0.0,8,0,0
2008,cardinals,10.42,9.81,12.06,12.74,24.64,7.49,7.27,0.8,4.09,0.23,0.32,0.0,9,3,0
2009,cardinals,18.13,10.46,13.54,14.8,17.63,12.29,4.53,2.21,6.92,5.68,0.21,0.0,10,1,0
2010,cardinals,17.47,7.13,10.35,15.12,16.1,2.32,3.7,2.59,2.4,1.28,0.53,0.0,5,0,0
2011,cardinals,19.32,11.61,9.56,20.42,18.99,9.56,3.79,3.21,3.87,2.13,0.07,0.0,8,0,0
2012,cardinals,17.4,12.24,13.11,21.3,14.84,9.68,5.93,2.78,8.36,15.7,0.0,0.0,5,0,0
2013,cardinals,10.18,9.04,17.5,15.29,14.94,4.85,4.17,3.7,0.49,6.4,0.32,0.0,10,0,0
2014,cardinals,14.93,10.91,20.24,14.32,10.12,11.71,1.94,2.29,0.24,21.29,0.47,2.25,11,0,0
2015,cardinals,17.44,9.24,16.29,14.86,19.61,7.97,1.73,1.18,0.21,4.76,0.0,2.09,13,2,0
2016,cardinals,18.05,11.36,16.66,20.13,13.61,13.28,3.26,1.63,8.6,17.38,0.05,1.95,7,0,0
2017,cardinals,21.14,14.26,7.1,16.42,17.16,17.13,2.5,2.77,4.35,33.29,0.08,0.0,8,0,0
2018,cardinals,21.04,9.46,14.76,17.45,13.18,12.89,3.52,4.03,22.49,13.84,0.0,0.0,3,0,0
2019,cardinals,11.44,15.25,5.58,10.67,17.6,4.29,6.21,1.9,0.07,11.5,0.26,0.0,5,0,0
2005,falcons,3.25,7.93,9.19,4.71,7.21,9.25,6.01,0.27,0.21,0.0,0.09,0.0,8,0,0
