,Year,Team,CapRoom
0,2005,cardinals,35.43000000000001
1,2006,cardinals,17.89
2,2007,cardinals,28.349999999999994
3,2008,cardinals,14.77000000000001
4,2009,cardinals,6.410000000000011
5,2010,cardinals,25.209999999999994
6,2011,cardinals,3.539999999999992
7,2012,cardinals,2.719999999999999
8,2013,cardinals,20.33
9,2014,cardinals,13.540000000000006
10,2015,cardinals,11.679999999999993
11,2016,cardinals,2.0200000000000102
12,2017,cardinals,1.5200000000000102
13,2018,cardinals,3.670000000000016
14,2019,cardinals,27.060000000000002
15,2005,falcons,52.17999999999999
16,2006,falcons,43.63999999999999
17,2007,falcons,31.14999999999999
18,2008,falcons,14.61999999999999
19,2009,falcons,8.209999999999994
20,2010,falcons,-0.030000000000001137
21,2011,falcons,-4.36999999999999
22,2012,falcons,-5.1699999999999875
23,2013,falcons,2.0500000000000256
24,2014,falcons,10.61
25,2015,falcons,7.610000000000014
26,2016,falcons,3.7299999999999756
27,2017,falcons,1.3699999999999903
28,2018,falcons,2.960000000000008
29,2019,falcons,3.319999999999993
30,2005,ravens,40.63
31,2006,ravens,36.34
32,2007,ravens,26.980000000000018
33,2008,ravens,24.030000000000015
34,2009,ravens,13.360000000000014
35,2010,ravens,5.9199999999999875
36,2011,ravens,6.320000000000007
37,2012,ravens,-4.000000000000028
38,2013,ravens,15.539999999999992
39,2014,ravens,6.030000000000001
40,2015,ravens,19.709999999999994
41,2016,ravens,3.1899999999999835
42,2017,ravens,2.8900000000000006
43,2018,ravens,13.870000000000005
44,2019,ravens,1.4299999999999926
45,2005,bills,36.73
46,2006,bills,31.78
47,2007,bills,40.48
48,2008,bills,22.0
49,2009,bills,20.220000000000013
50,2010,bills,11.97999999999999
51,2011,bills,23.730000000000004
52,2012,bills,8.899999999999991
53,2013,bills,28.22
54,2014,bills,19.840000000000003
55,2015,bills,16.17
56,2016,bills,15.739999999999995
57,2017,bills,9.72999999999999
58,2018,bills,43.260000000000005
59,2019,bills,13.930000000000007
60,2005,panthers,60.519999999999996
61,2006,panthers,52.10999999999999
62,2007,panthers,43.64000000000001
63,2008,panthers,18.260000000000005
64,2009,panthers,14.25
65,2010,panthers,13.129999999999981
66,2011,panthers,0.2400000000000091
67,2012,panthers,-4.090000000000003
68,2013,panthers,14.97999999999999
69,2014,panthers,25.69999999999999
70,2015,panthers,5.050000000000011
71,2016,panthers,12.800000000000011
72,2017,panthers,2.950000000000003
73,2018,panthers,-1.180000000000021
74,2019,panthers,5.039999999999978
75,2005,bears,59.97
76,2006,bears,57.44
77,2007,bears,45.32000000000001
78,2008,bears,33.06
79,2009,bears,16.489999999999995
80,2010,bears,7.329999999999998
81,2011,bears,16.480000000000004
82,2012,bears,-1.25
83,2013,bears,2.9299999999999926
84,2014,bears,1.609999999999971
85,2015,bears,22.460000000000022
86,2016,bears,13.439999999999984
87,2017,bears,4.189999999999998
88,2018,bears,11.63000000000001
89,2019,bears,6.180000000000021
90,2005,bengals,41.02
91,2006,bengals,27.909999999999997
92,2007,bengals,23.989999999999995
93,2008,bengals,25.560000000000002
94,2009,bengals,13.709999999999994
95,2010,bengals,15.259999999999991
96,2011,bengals,20.289999999999992
97,2012,bengals,11.679999999999993
98,2013,bengals,12.370000000000005
99,2014,bengals,7.489999999999995
100,2015,bengals,5.849999999999994
101,2016,bengals,6.870000000000019
102,2017,bengals,10.220000000000013
103,2018,bengals,9.329999999999984
104,2019,bengals,12.670000000000016
105,2005,browns,56.02
106,2006,browns,49.67999999999999
107,2007,browns,39.96000000000001
108,2008,browns,18.030000000000015
109,2009,browns,24.710000000000008
110,2010,browns,17.459999999999994
111,2011,browns,20.10000000000001
112,2012,browns,-5.1899999999999835
113,2013,browns,30.379999999999995
114,2014,browns,14.120000000000005
115,2015,browns,18.789999999999992
116,2016,browns,46.43
117,2017,browns,49.339999999999996
118,2018,browns,23.260000000000005
119,2019,browns,13.350000000000009
120,2005,cowboys,53.400000000000006
121,2006,cowboys,42.49
122,2007,cowboys,23.739999999999995
123,2008,cowboys,24.72999999999999
124,2009,cowboys,13.0
125,2010,cowboys,-33.859999999999985
126,2011,cowboys,22.85000000000001
127,2012,cowboys,10.969999999999999
128,2013,cowboys,3.7900000000000063
129,2014,cowboys,24.439999999999998
130,2015,cowboys,20.60000000000001
131,2016,cowboys,7.230000000000018
132,2017,cowboys,5.780000000000015
133,2018,cowboys,6.8500000000000085
134,2019,cowboys,15.050000000000011
135,2005,broncos,63.08
136,2006,broncos,41.13999999999999
137,2007,broncos,46.1
138,2008,broncos,41.94999999999999
139,2009,broncos,31.310000000000002
140,2010,broncos,9.219999999999985
141,2011,broncos,25.129999999999995
142,2012,broncos,-10.210000000000008
143,2013,broncos,5.510000000000019
144,2014,broncos,0.8200000000000074
145,2015,broncos,3.769999999999996
146,2016,broncos,4.77000000000001
147,2017,broncos,10.40000000000002
148,2018,broncos,17.779999999999987
