Year,Team,Safeties,Corners,InsideBackers,Edge,InteriorDLine,WRs,TEs,InteriorOLine,Tackles,QB,RB,Special,Dead,IR,Prac,Susp,Wins,Playoff Wins,SuperBowl Win,Cluster,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,ExpWins,ExpPOWins,Error,POError
2005,cardinals,8.02,3.09,2.08,9.11,1.47,8.76,0.44,15.55,5.49,6.72,0.81,3.03,8.08,0.16,0.09,0.0,5,0,0,49,1.9525703225307827,2.0461193621248754,1.9711069917554094,1.991100543219811,1.9365047586724817,1.9906731708980379,2.023222274709896,1.9967927883016539,1.9640692002178395,1.968641028015416,2.1716208350944113,1.9772369394403764,1.9750869747165685,2.084616479537483,2.040825074246762,2.053282616171896,1.993363218798066,1.935475433808051,2.001278493729488,2.0489193627870277,2.0177683780179514,1.9037400253289842,2.055141048220231,2.0137902477670337,1.9705351297739457,1.8998073263260098,2.065650321348358,1.9832000288707754,1.9616860232401032,1.9321611924508444,2.06061002618136,2.018165194629983,1.9219459403095982,2.0204211844526556,2.178382816855431,1.9591666272977715,1.9950874764890258,1.8900415521954337,1.8676410082256887,1.8854730048117132,2.0640078775892285,1.9890585480477754,1.890931126754122,2.137991764138091,1.990575921374006,1.992341993689516,1.9795740752982602,2.0271023653587084,2.035047929406084,2.1704479767749705,7.915359300896752,0.4287676072656921,2.9153593008967524,0.4287676072656921
2006,cardinals,9.22,0.95,2.46,11.08,3.72,11.23,0.81,20.4,3.43,6.87,10.18,1.76,1.18,0.61,0.15,0.0,5,0,0,34,1.9631122537191812,2.059480846408142,1.9834251827250453,1.9736193575059946,1.9568594272608468,1.9902323213482735,2.0047304216271247,1.993208749882238,1.9570027388344295,1.9550430093291,2.109599158544324,1.9966623484025126,1.9709338900018563,2.046274099972065,2.0260896055240947,2.0356989001630343,1.9638079818780347,1.956082803178077,1.981867646723235,2.0104429348893196,2.016694039645283,1.9150658172878718,2.016374427072009,2.000456341460845,1.9841300570706493,1.917620058906954,2.0796278948759785,1.9897741688381199,1.9937011695553768,1.9567618988732918,2.037945185369659,2.04076743670711,1.928363567985911,2.0430810577564253,2.179310171318589,1.931390135735225,2.0242084139188514,1.9439593408837255,1.9030382955089773,1.9353237937278982,2.0479077367410117,1.9843704392353154,1.9666786168070212,2.098677800989235,1.963932929856145,1.9427066047213695,2.016919901572992,2.0319478515244245,2.064381965579972,2.11070920255683,7.913137794731418,0.4281571691523505,2.9131377947314183,0.4281571691523505
2007,cardinals,8.73,1.48,3.39,11.32,1.64,10.8,0.95,10.49,5.6,8.55,7.57,1.13,2.07,13.01,0.08,0.0,8,0,0,34,1.9606804052666644,2.043737140219913,1.9767953297973953,1.9716554776556543,1.9798431774754977,2.017033867296877,2.028798389736271,2.006983740695653,1.9430276535428164,1.956268573871732,2.138003130392829,1.9721873963423533,1.945828152340801,2.089742506428769,2.0653527299266483,2.049834367343146,1.9713263697371912,1.9408566325496197,1.9933018967452663,2.0362326905076533,2.0403334483205295,1.8978824294471337,2.0360642547834824,2.018208092445779,1.9748152637914427,1.9093158139655193,2.072499914552443,1.9853903922343021,2.003356224808351,1.9633460286600186,2.0557825227639643,2.057848768543184,1.9211261881532535,2.042255725971865,2.1841489397414566,1.9358236556088217,2.027047784498744,1.891519378380751,1.8701179488417652,1.9194727375682756,2.034553830573102,1.9865477165335772,1.9407887953518739,2.072990540498601,1.9671527336361998,1.969713976133775,1.9911081607840477,2.055554598110684,1.9842458019820046,2.1034987054423135,7.916240382769944,0.4290144186580695,0.0837596172300561,0.4290144186580695
2008,cardinals,8.13,2.29,9.81,8.31,3.75,11.07,1.67,11.33,13.31,7.49,7.27,0.8,4.09,0.23,0.32,0.0,9,3,0,34,1.996138010219916,1.9956439025844708,2.0083027711659778,1.9628035479101427,1.975771630888974,2.0679586463450863,1.9957345105652284,2.0032480082550532,1.9834300619080634,1.9418231526676568,2.0796292149024604,1.9863630827468486,1.964467207014975,2.0851379573963333,2.0333118428087196,2.039890606561009,2.030574473687847,1.9450111555163956,1.9629682544033504,2.039750125481635,2.04282066851993,1.9096652901831588,2.062514786849978,2.016914989792285,1.946650562899906,1.938934400532403,2.0180549301503525,1.9910663514738443,2.007541122030455,1.9688925563033817,2.027262957839291,2.021192971861933,1.9610379847572312,2.048046753588687,2.1405078931330137,1.9693623400683173,2.0050551583868472,1.9050325184926564,1.8735068363435932,1.9322288979137667,2.0540903320732866,1.9685666807135151,1.916792522716264,2.074530265605638,1.9886435360371435,2.045839663901668,1.9582445386941278,2.017419405727087,2.0277840423612035,2.063840878018899,7.911210708880264,0.4282018932888282,1.0887892911197357,2.5717981067111717
2009,cardinals,10.1,8.03,10.46,6.54,7.0,14.14,0.66,9.37,8.26,12.29,4.53,2.21,6.92,5.68,0.21,0.0,10,1,0,13,1.9542667606099604,1.983983823705438,1.9903565296270445,1.9830508929498467,1.9900461512412517,2.0418802573635464,2.0181020522906215,2.0272743645729516,2.0163788503968316,1.9665212237959206,2.09549725639216,1.9972617364473728,1.9833100068099943,2.0884367577495855,2.031883275416291,2.0149996587502472,2.0657816705622234,1.9613410924162251,1.960143960111229,2.0157297226904127,2.039948528285386,1.9255084991409506,2.058510633696784,1.9889879104577264,1.9227497181429638,1.9809614310801416,2.0101182761240484,1.9877033999847606,1.9914134313105427,1.9867227890845187,2.0428101269940826,2.026027223645844,1.9489380399109593,2.0010426179272436,2.0826935809936433,1.9719547862618116,1.9989841242369295,1.8855071882430585,1.8702203794575518,1.9849946426912592,2.039446878088415,1.979461881243648,1.8863608655824198,2.0633819869484586,2.001486237633853,2.0557905448535663,1.9729710585975058,2.0122833151145856,2.025216524911535,2.0715573354566934,7.911049279914052,0.42798054597561613,2.088950720085948,0.5720194540243839
2010,cardinals,12.71,4.76,6.78,6.61,4.09,13.4,1.72,10.81,5.3,2.32,3.7,2.59,2.4,1.28,0.53,0.0,5,0,0,41,1.9648851499978317,1.987175649635118,1.991578995477884,1.9906938881350507,2.0046101686348026,2.0358425148820842,1.9777379671542996,2.0040831253082536,1.998827008117242,1.9504533896430352,2.1263301796055254,2.0031556938728876,1.9536278461232521,2.0949479835873315,2.042413954791641,2.038542837942919,2.0024420482495193,1.9559434783735021,1.9544206012224032,2.0104395589179265,2.062523499968176,1.8941188310858146,2.0238227626978023,2.010314618685723,1.9349224152430025,1.9644650179208183,2.031041599903311,2.0207722060392914,1.962344803611989,1.9515115527262574,2.0571827093565203,2.0078929694339824,1.9168644575576728,2.0143925958397335,2.1441045335323037,1.9194778595024462,1.9878724960510958,1.898453956236189,1.8566080581198507,1.9450169604167042,2.0599663722836685,2.0363118422277213,1.885637530393561,2.110830229711989,1.9721278917657525,2.030651221882216,1.9958100354433503,2.061281545908274,2.0599471161894427,2.0955802705928424,7.912872927333474,0.42905594404177383,2.912872927333474,0.42905594404177383
2011,cardinals,11.13,8.19,10.75,7.7,2.72,16.74,3.68,9.79,9.2,9.56,3.79,3.21,3.87,2.13,0.07,0.0,8,0,0,13,1.9702473792051738,1.9796389742860636,1.9949109461129533,1.986254721532263,2.001431804017588,2.039990879773518,2.007215688783067,2.014879504388566,1.9988982239007593,1.9776841556380815,2.0992521815053187,1.9773006886323858,1.9634504510498294,2.095022232046373,2.0335599139935696,2.022460050372314,2.0579283421187893,1.9559634101373926,1.963543969963395,2.027872570053544,2.0340603831962443,1.9251631489359604,2.05803657829771,1.995703671544098,1.9408887988301882,1.9898618516497812,2.016613229707086,2.003153475065999,1.9812723521326805,1.9714071276911227,2.043419328066627,2.0265969050347175,1.936728399332029,2.000637980982764,2.081774762182519,1.9739540478507482,2.001914910461569,1.89203806808173,1.8745799877876737,1.9562513639431671,2.0444987078281445,1.9910177076553248,1.8844444151892272,2.063800362543772,1.9996475631193031,2.066733227185814,1.9622706016796005,2.0364271182768143,2.0131163323442576,2.0664815058923813,7.910748848537979,0.4282619416349501,0.08925115146202067,0.4282619416349501
2012,cardinals,9.27,8.13,10.32,12.62,2.41,16.91,4.39,9.54,5.3,9.68,5.93,2.78,8.36,15.7,0.0,0.0,5,0,0,13,1.9576305840076451,1.9962673800002595,1.9907048406852514,1.985836701179823,1.9991722012507893,2.0230424996064564,2.026025741385854,2.0169821582490166,1.9767365138889135,1.985613380463203,2.0941091242253695,1.9656520915400661,1.9531892471000443,2.0825785946891284,2.042533460970804,2.027575731388151,2.042248323532272,1.9667291588103133,1.9804663114658312,2.0168761244139057,2.016617841695098,1.9251087388596484,2.0578089590899387,1.9875199581177474,1.9686372062644386,1.9941948766561701,2.027250185907425,2.0028405407024295,1.987745680000804,1.9671825784782528,2.046268384373184,2.043297719739175,1.933565081253322,1.9960216052086457,2.080634806109347,1.9622404353081908,2.0209637169614507,1.8998874502640533,1.8809177489089421,1.9525339195304328,2.0481126810255414,1.9821200865712145,1.9104050054161488,2.0525821484556896,1.9857506327183643,2.0355626341693815,1.9798101744503385,2.0610029649974906,2.0043505600030325,2.05909550991103,7.910699284204127,0.42809230076518817,2.910699284204127,0.42809230076518817
2013,cardinals,2.24,7.94,5.65,18.14,2.75,11.88,3.41,11.74,3.2,4.85,4.17,3.7,0.49,6.4,0.32,0.0,10,0,0,17,1.9441537196631227,2.0227767327355735,1.9921348692062912,1.9994180564093904,1.9572875008829882,1.9957958330332548,2.058661355105693,2.018369791653502,1.9561702052181218,1.9950366259063559,2.080544060699103,1.9480786461934032,1.936628938067763,2.0510912466259725,2.0278454447626886,2.0526744052072177,2.010245768729318,1.9826583029875273,2.0267997232225476,2.018630429784398,1.9630301845753158,1.9269101838636091,2.0520549186941075,1.978148424250661,2.0228441468609906,1.9814795622197439,2.0138109139040328,1.9934640852163712,1.9783084975299945,1.932871274576597,2.057663263638423,2.042593809867433,1.9484527319205345,1.9996198195245913,2.0745585536135236,1.9660148865872369,2.0410506288053147,1.9137938209708054,1.8836582073161543,1.9237137068627241,2.0579943217098213,1.9539105788167028,1.9427859729050787,2.0826585621709324,1.9721015560743702,2.017347451354544,2.0130897412305613,2.090941612775513,2.040798424088861,2.0593285019812133,7.907167625436768,0.4268513085920271,2.0928323745632316,0.4268513085920271
2014,cardinals,2.83,12.1,5.1,22.51,3.54,10.84,3.48,6.9,3.22,11.71,1.94,2.29,0.24,21.29,0.47,2.25,11,0,0,6,1.9357954089478862,2.0130605308869245,1.982204968537553,2.0044293959534825,1.9765364070120996,1.9878339782557466,2.0896790382580352,2.0376277062882444,1.9643692572471096,2.0188284336840323,2.0620820960525843,1.9484767685359266,1.9522836001739374,2.047076202402074,2.0454096537678117,2.034654816968147,2.0312993419641527,1.98627381287211,2.0411381850026773,2.019712216702563,1.968673959075546,1.9503632468486052,2.0608104908318503,1.986609203574513,2.0208172298733973,1.999715671304197,2.0027449065068614,1.9770249856243156,1.9848673975466964,1.9564605857770583,2.0437435924036067,2.04136239090433,1.9694270455398237,1.9835340752872421,2.0243720114933637,2.0018926223115137,2.0287412762769117,1.904704496710608,1.899764667358991,1.9413046719919274,2.0282992773660578,1.9549442793411969,1.9456636160363656,2.0308864698314273,1.9866885314791047,2.025054319512908,2.00285008629581,2.070645513061067,1.9909474313510922,2.0383141289705207,7.907328259158506,0.42706095834176794,3.092671740841494,0.42706095834176794
