AAV,Age,CapPerc,Dollars,From,Player,Position,To,Year,Years
12666667.0,25,10.52,76000000.0,CAR,Charles Johnson,DE,CAR,2011.0,6.0
12000000.0,30,9.97,60000000.0,OAK,Nnamdi Asomugha,CB,PHI,2011.0,5.0
7571429.0,27,6.29,53000000.0,TB,Davin Joseph,G,TB,2011.0,7.0
9750000.0,27,8.1,48750000.0,CIN,nathan Joseph,CB,HOU,2011.0,5.0
9000000.0,27,7.48,45000000.0,NYJ,Santonio Holmes,WR,NYJ,2011.0,5.0
8600000.0,28,7.14,43000000.0,CAR,DeAngelo Williams,RB,CAR,2011.0,5.0
7000000.0,26,5.82,42000000.0,BUF,aul Posluszny,OLB,JAC,2011.0,6.0
8200000.0,24,6.81,41000000.0,MIN,Sidney Rice,WR,SEA,2011.0,5.0
8000000.0,26,6.65,40000000.0,SD,Eric Weddle,FS,SD,2011.0,5.0
6800000.0,25,5.65,34000000.0,OAK,Zach Miller,TE,SEA,2011.0,5.0
8000000.0,27,6.65,32000000.0,NYJ,Antonio Cromartie,CB,NYJ,2011.0,4.0
6400000.0,26,5.32,32000000.0,BAL,Marshal Yanda,G,BAL,2011.0,5.0
6075000.0,30,5.05,30375000.0,GB,Cullen Jenkins,DE,PHI,2011.0,5.0
6000000.0,26,4.98,30000000.0,IND,Clint Session,LB,JAC,2011.0,5.0
5800000.0,27,4.82,29000000.0,TB,Quincy Black,LB,TB,2011.0,5.0
7125000.0,28,5.92,28500000.0,NO,Roman Harper,SS,NO,2011.0,4.0
5600000.0,31,4.65,28000000.0,TEN,Jason Babin,DE,PHI,2011.0,5.0
7000000.0,31,5.82,28000000.0,PIT,Ike Taylor,CB,PIT,2011.0,4.0
5500000.0,29,4.57,27500000.0,SF,David Baas,C,NYG,2011.0,5.0
5500000.0,28,4.57,27500000.0,BAL,Dawan Landry,S,WAS,2011.0,5.0
5500000.0,26,4.57,27500000.0,MIN,Ray Edwards,DE,ATL,2011.0,5.0
5500000.0,29,4.57,27500000.0,GB,Daryn Colledge,G,ARI,2011.0,5.0
5000000.0,29,4.15,25000000.0,ATL,Tyson Clabo,RT,ATL,2011.0,5.0
5000000.0,27,4.15,25000000.0,PHI,Stewart Bradley,ILB,ARI,2011.0,5.0
5000000.0,26,4.15,25000000.0,SEA,Brandon Mebane,DT,SEA,2011.0,5.0
4510000.0,28,3.75,22550000.0,ARI,Steve Breaston,WR,KC,2011.0,5.0
4400000.0,27,3.66,22000000.0,CAR,James Anderson,OLB,CAR,2011.0,5.0
5250000.0,28,4.36,21000000.0,SD,Kevin Burnett,OLB,MIA,2011.0,4.0
4020000.0,26,3.34,20100000.0,SF,Ray McDonald,DT,SF,2011.0,5.0
5000000.0,29,4.15,20000000.0,CHI,Danieal Manning,S,HOU,2011.0,4.0
5000000.0,27,4.15,20000000.0,SD,Jeromey Clary,G,SD,2011.0,4.0
3250000.0,29,2.7,19500000.0,ATL,Michael Koenen,P,TB,2011.0,6.0
4500000.0,25,3.74,18000000.0,NYG,Ahmad Bradshaw,RB,NYG,2011.0,4.0
3500000.0,28,2.91,17500000.0,ATL,Stephen Nicholas,OLB,ATL,2011.0,5.0
3250000.0,27,2.7,16250000.0,ARI,Lyle Sendlein,C,ARI,2011.0,5.0
3050000.0,28,2.53,15250000.0,DAL,Marcus Spears,DE,DAL,2011.0,5.0
3800000.0,28,3.16,15200000.0,BAL,hris Carr,CB,BAL,2011.0,4.0
3750000.0,27,3.12,15000000.0,NYJ,Brad Smith,WR,BUF,2011.0,4.0
5000000.0,30,4.15,15000000.0,BUF,Drayton Florence,CB,BUF,2011.0,3.0
2950000.0,26,2.45,14750000.0,GB,Mason Crosby,K,GB,2011.0,5.0
3500000.0,28,2.91,14000000.0,SD,Darren Sproles,RB,NO,2011.0,4.0
3250000.0,30,2.7,13000000.0,NYJ,Wayne Hunter,T,NYJ,2011.0,4.0
6200000.0,33,5.15,12400000.0,NE,Matt Light,T,NE,2011.0,2.0
3000000.0,37,2.49,12000000.0,MIN,Ryan Longwell,K,MIN,2011.0,4.0
3883333.0,26,3.23,11650000.0,BUF,Donte Whitner,SS,SF,2011.0,3.0
3666667.0,29,3.05,11000000.0,HOU,Vonta Leach,FB,BAL,2011.0,3.0
3633333.0,32,3.02,10900000.0,NO,Jonathan Goodwin,C,SF,2011.0,3.0
2675000.0,36,2.22,10700000.0,ATL,Matt Bryant,K,ATL,2011.0,4.0
3500000.0,27,2.91,10500000.0,HOU,acoby Jones,WR,HOU,2011.0,3.0
3466667.0,38,2.88,10400000.0,IND,Adam Vinatieri,K,IND,2011.0,3.0
5000000.0,28,4.15,10000000.0,TB,Jeremy Trueblood,RT,TB,2011.0,2.0
2000000.0,28,1.66,10000000.0,JAC,Adam Podlesh,P,CHI,2011.0,5.0
4750000.0,27,3.95,9500000.0,NO,Jermon Bushrod,T,NO,2011.0,2.0
3133333.0,27,2.6,9400000.0,GB,ames Jones,WR,GB,2011.0,3.0
3000000.0,36,2.49,9000000.0,PHI,David Akers,K,SF,2011.0,3.0
3000000.0,27,2.49,9000000.0,MIA,yler Thigpen,QB,BUF,2011.0,3.0
3000000.0,34,2.49,9000000.0,SF,Takeo Spikes,LB,SD,2011.0,3.0
2750000.0,32,2.28,8250000.0,KC,Ron Edwards,DT,CAR,2011.0,3.0
4000000.0,26,3.32,8000000.0,ARI,Alan Branch,DT,SEA,2011.0,2.0
2500000.0,28,2.08,7500000.0,GB,John Kuhn,FB,GB,2011.0,3.0
2500000.0,28,2.08,7500000.0,NYJ,Eric Smith,S,NYJ,2011.0,3.0
2166667.0,32,1.8,6500000.0,DAL,yle Kosier,G,DAL,2011.0,3.0
3250000.0,28,2.7,6500000.0,OAK,Thomas Howard,LB,CIN,2011.0,2.0
3100000.0,27,2.58,6200000.0,TEN,Leroy Harris,C,TEN,2011.0,2.0
2000000.0,29,1.66,6000000.0,DAL,Jason Hatcher,DE,DAL,2011.0,3.0
3000000.0,29,2.49,6000000.0,SEA,Chris Spencer,G,CHI,2011.0,2.0
3000000.0,26,2.49,6000000.0,DET,Chris Houston,CB,DET,2011.0,2.0
3000000.0,,2.49,6000000.0,SD,Billy Volek,QB,SD,2011.0,2.0
2000000.0,26,1.66,6000000.0,NO,Usama Young,S,CLE,2011.0,3.0
1991667.0,27,1.65,5975000.0,PIT,Matt Spaeth,TE,CHI,2011.0,3.0
1916667.0,27,1.59,5750000.0,NO,Zach Strief,RT,NO,2011.0,3.0
1850000.0,28,1.54,5550000.0,CAR,Jeff King,TE,ARI,2011.0,3.0
2750000.0,28,2.28,5500000.0,HOU,Matt Leinart,QB,HOU,2011.0,2.0
2750000.0,25,2.28,5500000.0,JAC,Justin Durant,OLB,DET,2011.0,2.0
2500000.0,29,2.08,5000000.0,SD,Malcom Floyd,WR,SD,2011.0,2.0
2500000.0,27,2.08,5000000.0,CAR,att Moore,QB,MIA,2011.0,2.0
5000000.0,27,4.15,5000000.0,SF,Alex Smith,QB,SF,2011.0,1.0
4500000.0,28,3.74,4500000.0,CIN,Cedric Benson,RB,CIN,2011.0,1.0
2250000.0,25,1.87,4500000.0,GB,Brandon Jackson,RB,CLE,2011.0,2.0
2250000.0,26,1.87,4500000.0,CHI,Nick Roach,ILB,CHI,2011.0,2.0
2250000.0,28,1.87,4500000.0,GB,Jason Spitz,G,JAC,2011.0,2.0
1383333.0,26,1.15,4150000.0,DAL,Sam Hurd,WR,CHI,2011.0,3.0
1375000.0,28,1.14,4125000.0,WAS,Reed Doughty,S,WAS,2011.0,3.0
4000000.0,34,3.32,4000000.0,NYJ,Shaun Ellis,DE,NE,2011.0,1.0
4000000.0,28,3.32,4000000.0,TB,Barrett Ruud,LB,TEN,2011.0,1.0
2000000.0,28,1.66,4000000.0,OAK,Bruce Gradkowski,QB,CIN,2011.0,2.0
2000000.0,31,1.66,4000000.0,NO,cott Shanle,LB,NO,2011.0,2.0
2000000.0,26,1.66,4000000.0,IND,Antonio Johnson,DT,IND,2011.0,2.0
1154423.0,27,0.96,3463270.0,TB,Adam Hayward,OLB,TB,2011.0,3.0
1642500.0,29,1.36,3285000.0,DET,Dylan Gandy,G,DET,2011.0,2.0
1600000.0,26,1.33,3200000.0,SD,Antwan Barnes,OLB,SD,2011.0,2.0
913333.0,28,0.76,2740000.0,DET,John Wendling,S,DET,2011.0,3.0
2610000.0,27,2.17,2610000.0,OAK,Michael Bush,RB,OAK,2011.0,1.0
2610000.0,25,2.17,2610000.0,KC,Brandon Carr,CB,KC,2011.0,1.0
2610000.0,25,2.17,2610000.0,DET,Cliff Avril,DE,DET,2011.0,1.0
2610000.0,26,2.17,2610000.0,NO,Carl Nicks,G,NO,2011.0,1.0
1300000.0,34,1.08,2600000.0,MIA,Ricky Williams,RB,BAL,2011.0,2.0
2500000.0,29,2.08,2500000.0,CLE,Abram Elam,S,DAL,2011.0,1.0
1250000.0,28,1.04,2500000.0,NYG,Kevin Boothe,G,NYG,2011.0,2.0
2500000.0,38,2.08,2500000.0,KC,Casey Wiegmann,C,KC,2011.0,1.0
825000.0,29,0.69,2475000.0,KC,Terrance Copper,WR,KC,2011.0,3.0
2250000.0,32,1.87,2250000.0,WAS,Andre Carter,DE,NE,2011.0,1.0
2000000.0,26,1.66,2000000.0,SF,Dashon Goldson,FS,SF,2011.0,1.0
1000000.0,26,0.83,2000000.0,SD,Dante Hughes,CB,SD,2011.0,2.0
1000000.0,27,0.83,2000000.0,CLE,Jason Trusnik,ILB,MIA,2011.0,2.0
975000.0,31,0.81,1950000.0,PIT,Nick Eason,DE,ARI,2011.0,2.0
1910000.0,27,1.59,1910000.0,ATL,Jason Snelling,RB,ATL,2011.0,1.0
1853000.0,25,1.54,1853000.0,SD,Mike Tolbert,FB,SD,2011.0,1.0
1850000.0,27,1.54,1850000.0,IND,Daniel Muir,DT,STL,2011.0,1.0
1835000.0,25,1.52,1835000.0,KC,Barry Richardson,LT,KC,2011.0,1.0
1835000.0,26,1.52,1835000.0,KC,Wallace Gilberry,DE,KC,2011.0,1.0
1835000.0,26,1.52,1835000.0,MIN,Husain Abdullah,FS,MIN,2011.0,1.0
1835000.0,25,1.52,1835000.0,TB,Connor Barth,K,TB,2011.0,1.0
1835000.0,25,1.52,1835000.0,DEN,esley Woodyard,ILB,DEN,2011.0,1.0
855000.0,26,0.71,1710000.0,ARI,Michael Adams,S,ARI,2011.0,2.0
1700000.0,32,1.41,1700000.0,CLE,Floyd Womack,G,ARI,2011.0,1.0
810500.0,29,0.67,1621000.0,PIT,Greg Warren,LS,PIT,2011.0,2.0
1500000.0,30,1.25,1500000.0,NO,Jimmy Wilkerson,DE,SEA,2011.0,1.0
1375000.0,28,1.14,1375000.0,HOU,Mark Anderson,DE,NE,2011.0,1.0
1300000.0,28,1.08,1300000.0,TEN,Jacob Ford,DE,TEN,2011.0,1.0
1300000.0,27,1.08,1300000.0,TEN,Dave Ball,DE,TEN,2011.0,1.0
1300000.0,28,1.08,1300000.0,PIT,Jonathan Scott,LT,PIT,2011.0,1.0
1200000.0,26,1.0,1200000.0,PIT,ennis Dixon,QB,PIT,2011.0,1.0
1200000.0,25,1.0,1200000.0,BAL,Haruki Nakamura,S,BAL,2011.0,1.0
1200000.0,26,1.0,1200000.0,ATL,Eric Weems,WR,ATL,2011.0,1.0
1200000.0,26,1.0,1200000.0,BUF,Scott Chandler,TE,BUF,2011.0,1.0
1200000.0,26,1.0,1200000.0,DAL,Alan Ball,CB,HOU,2011.0,1.0
1200000.0,25,1.0,1200000.0,MIN,Erin Henderson,ILB,MIN,2011.0,1.0
1200000.0,25,1.0,1200000.0,TEN,Patrick Bailey,OLB,TEN,2011.0,1.0
1200000.0,26,1.0,1200000.0,STL,John Greco,G,STL,2011.0,1.0
1200000.0,25,1.0,1200000.0,ARI,Early Doucet,WR,ARI,2011.0,1.0
1200000.0,26,1.0,1200000.0,ARI,Brandon Keith,RT,ARI,2011.0,1.0
1200000.0,28,1.0,1200000.0,TEN,Michael Otto,LT,TEN,2011.0,1.0
1200000.0,26,1.0,1200000.0,KC,Mike Cox,FB,KC,2011.0,1.0
1200000.0,25,1.0,1200000.0,STL,s Chamberlain,ILB,STL,2011.0,1.0
1200000.0,27,1.0,1200000.0,TEN,Tim Shaw,OLB,TEN,2011.0,1.0
