Airline,Origin,Destination
AA,ABQ,ORD
AA,AUS,JFK
AA,BNA,CLT
AA,BNA,LAX
AA,BNA,PHL
AA,BOI,PHX
AA,BOS,JFK
AA,BOS,LAX
AA,BOS,LGA
AA,BOS,MIA
AA,BOS,MSP
AA,BOS,ORD
AA,BWI,CLT
AA,BWI,PHX
AA,CLT,BNA
AA,CLT,BWI
AA,CLT,DEN
AA,CLT,EWR
AA,CLT,IAD
AA,CLT,IAH
AA,CLT,JFK
AA,CLT,LGA
AA,CLT,ORD
AA,CMH,LAX
AA,CMH,LGA
AA,CMH,PHX
AA,DCA,FLL
AA,DCA,LAX
AA,DCA,MCO
AA,DCA,RSW
AA,DEN,CLT
AA,DEN,MIA
AA,DEN,PHL
AA,DFW,BHM
AA,DFW,DTW
AA,DFW,EWR
AA,DFW,IAD
AA,DFW,IAH
AA,DFW,JFK
AA,DFW,LGA
AA,DFW,ORD
AA,DFW,SFO
AA,DSM,PHX
AA,DTW,DFW
AA,EGE,ORD
AA,EWR,CLT
AA,EWR,DFW
AA,EWR,MIA
AA,EWR,PHX
AA,FLL,DCA
AA,FLL,PHL
AA,GEG,PHX
AA,IAD,CLT
AA,IAD,DFW
AA,IAD,MIA
AA,IAH,CLT
AA,IAH,DFW
AA,IND,ORD
AA,JFK,BOS
AA,JFK,CLT
AA,JFK,DCA
AA,JFK,DFW
AA,JFK,LAX
AA,JFK,MIA
AA,JFK,PHX
AA,LAS,PHL
AA,LAS,PHX
AA,LAX,BNA
AA,LAX,BOS
AA,LAX,DCA
AA,LAX,JFK
AA,LAX,MIA
AA,LAX,MSP
AA,LAX,MSY
AA,LAX,ORD
AA,LAX,SAT
AA,LAX,SDF
AA,LAX,SEA
AA,LAX,TUS
AA,LGA,BOS
AA,LGA,CMH
AA,LGA,DFW
AA,LGA,MCO
AA,LGA,MIA
AA,LGA,ORD
AA,LGA,RDU
AA,MCI,ORD
AA,MCI,PHX
AA,MCO,DCA
AA,MCO,PHL
AA,MCO,PHX
AA,MIA,BOS
AA,MIA,DEN
AA,MIA,IAD
AA,MIA,JFK
AA,MIA,LAX
AA,MIA,LGA
AA,MIA,MCO
AA,MIA,ORD
AA,MIA,SFO
AA,MSP,BOS
AA,MSP,DFW
AA,MSY,DCA
AA,MSY,LAX
AA,OAK,PHX
AA,OMA,PHX
AA,ONT,PHX
AA,ORD,AUS
AA,ORD,BOS
AA,ORD,CLT
AA,ORD,DCA
AA,ORD,DFW
AA,ORD,LAX
AA,ORD,LGA
AA,ORD,MIA
AA,ORD,PBI
AA,ORD,PHL
AA,ORD,PHX
AA,ORD,RNO
AA,ORD,SJC
AA,ORD,STL
AA,ORD,TUL
AA,ORD,TUS
AA,PBI,ORD
AA,PBI,PHL
AA,PDX,PHX
AA,PHL,LAS
AA,PHL,MCO
AA,PHL,ORD
AA,PHL,PBI
AA,PHL,PHX
AA,PHL,SFO
AA,PHL,TPA
AA,PHX,AUS
AA,PHX,BOI
AA,PHX,CMH
AA,PHX,DSM
AA,PHX,GEG
AA,PHX,IND
AA,PHX,JFK
AA,PHX,MCI
AA,PHX,MCO
AA,PHX,MKE
AA,PHX,OMA
AA,PHX,ORD
AA,PHX,PDX
AA,PHX,PHL
AA,PHX,PIT
AA,PHX,RNO
AA,PHX,SAT
AA,PHX,SEA
AA,PHX,SFO
AA,PHX,SJC
AA,PHX,SMF
AA,PHX,SNA
AA,PHX,STL
AA,PHX,TPA
AA,PIT,ORD
AA,PIT,PHX
AA,PSP,ORD
AA,RDU,LGA
AA,RDU,ORD
AA,RNO,ORD
AA,RNO,PHX
AA,RSW,DCA
AA,RSW,ORD
AA,SAT,PHX
AA,SDF,LAX
AA,SEA,JFK
AA,SEA,LAX
AA,SEA,PHX
AA,SFO,DFW
AA,SFO,MIA
