Airline,Origin,Destination,Delay
WN,BOS,TPA,58.87
WN,TPA,ORF,58.8
WN,ECP,MCI,50.23
WN,LAS,JAX,48.8
WN,ECP,DEN,38.61
WN,PHX,EWR,37.85
WN,LGA,SAT,33.98
WN,OMA,BNA,32.85
WN,OMA,TPA,31.16
WN,SJU,EWR,30.92
WN,ABQ,SAT,28.85
WN,TPA,BOS,28.8
WN,ROC,RSW,28.47
WN,SAN,EWR,28.28
WN,GSP,DAL,28.1
WN,HOU,SMF,28.08
WN,DAL,GSP,28
WN,DAL,MSP,27.68
WN,OAK,EWR,26.12
WN,EWR,SJU,26.12
WN,BNA,EWR,26.07
WN,FLL,BHM,25.53
WN,RSW,ROC,25.2
WN,OKC,FLL,23.87
WN,DEN,EWR,23.44
WN,PBI,DAL,23.44
WN,LAX,SFO,22.73
WN,ECP,MDW,22.28
WN,EWR,PHX,21.96
WN,FLL,EWR,21.25
WN,MCO,CLE,21.11
WN,BUF,DEN,20.94
WN,HOU,BOS,20.82
WN,HOU,PHL,20.77
WN,TUS,HOU,20.66
WN,MCI,ECP,20.65
WN,SAN,ORF,20.27
WN,MDW,EWR,20.01
WN,BOS,MCO,19.83
WN,MDW,SFO,19.82
WN,ELP,SJC,19.54
WN,PHX,SFO,19.31
WN,LBB,HOU,19.1
WN,LAS,SFO,18.84
WN,ATL,SEA,18.8
WN,SJC,MCO,18.7
WN,MCO,ABQ,18.67
WN,HRL,DAL,18.5
WN,SAN,SFO,18.13
WN,PHL,HOU,18.05
WN,SFO,LAX,17.85
WN,MDW,LGA,17.63
WN,BOS,MSP,17.4
WN,LGA,MCO,17.04
WN,HOU,TUS,16.98
WN,EWR,LAS,16.95
WN,DEN,SFO,16.92
WN,MCO,EWR,16.87
WN,EWR,OAK,16.71
WN,DAL,SFO,16.38
WN,PBI,LGA,16.15
WN,PVD,PBI,16.1
WN,EWR,MDW,15.86
WN,DEN,BDL,15.85
WN,STL,PNS,15.66
WN,BUR,SFO,15.61
WN,HOU,PNS,15.58
WN,TPA,DTW,15.5
WN,LAS,RDU,15.44
WN,HOU,LGA,15.43
WN,SNA,SFO,15.39
WN,DAL,LGA,15.35
WN,DEN,ALB,15.26
WN,IND,EWR,15.2
WN,MKE,MSY,15.2
WN,MCO,LGA,15.16
WN,SFO,MKE,15.15
WN,HOU,SJU,15
WN,LAS,ALB,14.92
WN,EWR,IND,14.92
WN,MCO,BOS,14.88
WN,STL,EWR,14.77
WN,PNS,STL,14.33
WN,PDX,BWI,14.31
WN,EWR,STL,14.27
WN,LAX,ELP,14.05
WN,DEN,GRR,14.01
WN,HOU,JAX,14
WN,FLL,RDU,13.97
WN,HOU,LBB,13.96
WN,DAL,CMH,13.92
WN,MCO,OMA,13.88
WN,FLL,PHL,13.71
WN,DEN,SDF,13.64
WN,DEN,LGA,13.62
WN,SFO,DEN,13.43
WN,STL,SLC,13.4
WN,SFO,SAN,13.36
WN,LAX,PIT,13.36
WN,PBI,PVD,13.34
WN,DAL,SDF,13.32
WN,STL,SFO,13.3
WN,RSW,CLE,13.21
WN,LAX,ABQ,13.19
WN,MCO,SMF,13.07
WN,LAS,BHM,12.99
WN,AUS,EWR,12.97
WN,PNS,DEN,12.94
WN,PDX,SFO,12.89
WN,MDW,RNO,12.88
WN,DAL,ONT,12.87
WN,EWR,AUS,12.83
WN,LAS,EWR,12.7
WN,LGA,MCI,12.68
WN,MDW,SJU,12.66
WN,PDX,AUS,12.64
WN,DAL,SMF,12.63
WN,HOU,OMA,12.49
WN,LAS,FLL,12.47
WN,SFO,LAS,12.42
WN,LGA,TPA,12.41
WN,PHL,PHX,12.35
WN,OKC,MCO,12.32
WN,TPA,SJU,12.29
WN,MSY,DCA,12.26
WN,LAS,LAX,12.25
WN,DCA,CMH,12.22
WN,HOU,RDU,12.18
WN,ATL,LGA,12.15
WN,CLT,DAL,12.1
WN,HOU,BUR,12.08
WN,SNA,ABQ,12.06
WN,DEN,BOS,12.04
WN,LAS,BDL,12.03
WN,ATL,PBI,12.02
WN,STL,BOS,12.01
WN,DAL,BUR,11.98
WN,LGA,MDW,11.91
WN,DCA,OKC,11.8
WN,LAX,PHX,11.73
WN,MDW,BOS,11.73
WN,LAX,LAS,11.7
WN,SFO,SNA,11.69
WN,SFO,BUR,11.68
WN,PNS,AUS,11.66
WN,AUS,SFO,11.64
WN,SJC,GEG,11.64
WN,SEA,HOU,11.6
WN,HOU,BHM,11.59
WN,BNA,SJC,11.58
WN,DAL,HRL,11.56
WN,MDW,BUR,11.56
WN,LAS,MSP,11.53
WN,DEN,JAX,11.53
WN,DAL,TPA,11.46
WN,LAX,SLC,11.42
WN,LGA,DEN,11.42
WN,SFO,PHX,11.41
WN,LGA,MKE,11.4
WN,AUS,PNS,11.38
WN,DAL,DTW,11.34
WN,MDW,ONT,11.22
WN,EWR,DEN,11.21
WN,DAL,IND,11.19
WN,MDW,BHM,11.18
WN,MCO,OAK,11.18
WN,DEN,CMH,11.17
WN,MDW,OAK,11.16
WN,BNA,BOS,11.08
WN,DEN,PHL,11.06
WN,LAX,TUS,10.98
WN,TPA,ISP,10.97
WN,DAL,CLT,10.93
WN,DEN,RDU,10.91
WN,AUS,ECP,10.89
WN,AUS,SMF,10.89
WN,MDW,GEG,10.88
WN,MSY,PHX,10.87
WN,HOU,TPA,10.86
WN,MDW,BDL,10.85
WN,LAX,HOU,10.85
WN,STL,LGA,10.82
WN,HOU,LAX,10.81
WN,LAX,SAT,10.76
WN,SJC,RDU,10.76
WN,LAS,SDF,10.75
WN,LAX,MCI,10.74
WN,BWI,SEA,10.74
WN,RDU,DAL,10.72
WN,PHX,FLL,10.71
WN,MSP,TPA,10.71
WN,PHX,LAX,10.7
WN,SJU,MDW,10.69
WN,MDW,ALB,10.64
WN,DEN,PIT,10.62
